Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	RosHPLC		
kw_0638	a.13	D	8	DDW	SIL	CR	FS2	30	0	366									30				
kw_0639	a.13	D	9	JAM	SIL	CR	SO	70	0	378									71				
kw_0640	a.13	D	10	SIL	SIL	CR	FS2	70	0	326									18				
kw_0641	a.13	E	1	VNH	SIL	CR	R	100	0	33											7030		
kw_0642	a.13	E	2	PAR	SIL	CR	X	90															
kw_0643	a.13	E	3	FLF	SIL	CR	R	90	0	28													
kw_0644	a.13	E	4	THT	SIL	CR	FS2	100	0	370									31				
kw_0645	a.13	E	5	MAH	SIL	CR	X	60															
kw_0646	a.13	E	6	RUB	SIL	CR	R	70	0	18													
kw_0647	a.13	E	7	HMC	SIL	CR	X	90															
kw_0648	a.13	E	8	BVC	SIL	CR	X	90															
kw_0649	a.13	E	9	EGM	SIL	CR	FS2	60	0	616									35				
kw_0650	a.13	E	10	HMC	SIL	CR	X	50															
kw_0651	a.14	A	1	VNH	SIL	MW	X	50															
kw_0652	a.14	A	2	RUB	SIL	MW	X	60															
kw_0653	a.14	A	3	SAD	SIL	MW	R	60	0	41											7011		
kw_0654	a.14	A	4	THT	SIL	MW	FS1	50	0	348									14				
kw_0655	a.14	A	5	LTM	SIL	MW	FS2	30	0	407									37				
kw_0656	a.14	A	6	DDW	SIL	MW	FS2	40	0	377									30		7004		
kw_0657	a.14	A	7	MIL	SIL	MW	R	30	0	28											7010		
kw_0658	a.14	A	8	BSC	SIL	MW	FS1	40	0	236									6		7002		
kw_0659	a.14	A	9	BNK	SIL	MW	X	20															
kw_0660	a.14	A	10	PCS	SIL	MW	X	30															
kw_0661	a.14	B	1	BVM	SIL	MW	R	60	0	15													
kw_0662	a.14	B	2	JAM	SIL	MW	SO	50	0	379									37				
kw_0663	a.14	B	3	LTM	SIL	MW	SO	60	0	376									43		7008		
kw_0664	a.14	B	4	SIL	SIL	MW	FS1	50	0	265									7				
kw_0665	a.14	B	5	BVM	SIL	MW	X	30															
kw_0666	a.14	B	6	WHC	SIL	MW	FS2	40	0	301									22		7014		
kw_0667	a.14	B	7	PCS	SIL	MW	X	30															
kw_0668	a.14	B	8	BVC	SIL	MW	X	20															
kw_0669	a.14	B	9	FLF	SIL	MW	R	10	0	21											7006		
kw_0670	a.14	B	10	BNK	SIL	MW	X	30															
kw_0671	a.14	C	1	BSC	SIL	MW	FS2	70	0	380									22				
kw_0672	a.14	C	2	JAM	SIL	MW	SO	60	0	255									27		7003		
kw_0673	a.14	C	3	DDW	SIL	MW	FS2	70	0	414									13				
kw_0674	a.14	C	4	ECM	SIL	MW	FO	40	0	401											7005		
kw_0675	a.14	C	5	HMC	SIL	MW	X	20															
kw_0676	a.14	C	6	BVC	SIL	MW	X	30															
kw_0677	a.14	C	7	IRF	SIL	MW	FS2	20	0	361									27				
kw_0678	a.14	C	8	MAH	SIL	MW	X	10															
kw_0679	a.14	C	9	BHM	SIL	MW	R	20	0	36											7001		
kw_0680	a.14	C	10	WHC	SIL	MW	SO	30	0	313									22				
kw_0681	a.14	D	1	BHM	SIL	MW	X	80															
kw_0682	a.14	D	2	ECM	SIL	MW	FS2	80	0	476									21				
kw_0683	a.14	D	3	VNH	SIL	MW	X	40															
kw_0684	a.14	D	4	BHS	SIL	MW	R	50	0	6													
kw_0685	a.14	D	5	PAR	SIL	MW	X	30															
kw_0686	a.14	D	6	IRF	SIL	MW	FS2	30	0	353									21		7007		
kw_0687	a.14	D	7	FLF	SIL	MW	X	10															
kw_0688	a.14	D	8	MFP	SIL	MW	X	10															
kw_0689	a.14	D	9	RUB	SIL	MW	X	30															
kw_0690	a.14	D	10	THT	SIL	MW	R	40	0	38											7013		
kw_0691	a.14	E	1	BHS	SIL	MW	X	60															
kw_0692	a.14	E	2	HMC	SIL	MW	R	50	0	16													
kw_0693	a.14	E	3	EGM	SIL	MW	R	70	0	14													
kw_0694	a.14	E	4	SAD	SIL	MW	FS1	70	0	257									11				
kw_0695	a.14	E	5	PAR	SIL	MW	X	80															
kw_0696	a.14	E	6	MIL	SIL	MW	SO	70	0	593									28				
kw_0697	a.14	E	7	MAH	SIL	MW	B	40	1	251											7009		
kw_0698	a.14	E	8	SIL	SIL	MW	B	30	0	117											7012		
kw_0699	a.14	E	9	EGM	SIL	MW	X	50															
kw_0700	a.14	E	10	MFP	SIL	MW	X	60															
kw_0701	a.15	A	1	WHC	SIL	CR	R	80	0	22											7064		
kw_0702	a.15	A	2	BHS	SIL	CR	R	80	0	37													
kw_0703	a.15	A	3	BVC	SIL	CR	X	100															
kw_0704	a.15	A	4	JAM	SIL	CR	X	90															
kw_0705	a.15	A	5	THT	SIL	CR	R	70	0	52											7062		
kw_0706	a.15	A	6	VNH	SIL	CR	R	70	0	11											TINY		
kw_0707	a.15	A	7	WHC	SIL	CR	R	80	0	18													
kw_0708	a.15	A	8	EGM	SIL	CR	FS2	80	0	382									13		7052		
kw_0709	a.15	A	9	BHS	SIL	CR	B	90	0	149											7047		
kw_0710	a.15	A	10	MFP	SIL	CR	X	100															
kw_0711	a.15	B	1	DDW	SIL	CR	FS2	90	0	363									18		7050		
kw_0712	a.15	B	2	RUB	SIL	CR	R	70	0	9											TINY		
kw_0713	a.15	B	3	BSC	SIL	CR	R	70	0	48											7049		
kw_0714	a.15	B	4	BVM	SIL	CR	X	100															
kw_0715	a.15	B	5	FLF	SIL	CR	R	90	0	28											7053		
kw_0716	a.15	B	6	BHM	SIL	CR	X	90															
kw_0717	a.15	B	7	LTM	SIL	CR	FS2	90	0	353									29		7056		
kw_0718	a.15	B	8	FLF	SIL	CR	R	90	0	22													
kw_0719	a.15	B	9	THT	SIL	CR	FS2	100	0	370									20				
kw_0720	a.15	B	10	HMC	SIL	CR	X	80															
kw_0721	a.15	C	1	HMC	SIL	CR	R	60	0	13													
kw_0722	a.15	C	2	MFP	SIL	CR	X	100															
kw_0723	a.15	C	3	RUB	SIL	CR	X	80															
kw_0724	a.15	C	4	VNH	SIL	CR	R	90	0	32											7063		
kw_0725	a.15	C	5	BNK	SIL	CR	X	80															
kw_0726	a.15	C	6	DDW	SIL	CR	FS2	90	0	341									13				
kw_0727	a.15	C	7	PAR	SIL	CR	X	100															
kw_0728	a.15	C	8	SIL	SIL	CR	B	100	0	65											7061		
kw_0729	a.15	C	9	BVC	SIL	CR	X	90															
kw_0730	a.15	C	10	BSC	SIL	CR	R	90	0	33													
kw_0731	a.15	D	1	JAM	SIL	CR	SO	90	0	287									54		7055		
kw_0732	a.15	D	2	SAD	SIL	CR	R	90	0	49											7060		
kw_0733	a.15	D	3	MIL	SIL	CR	FS2	100	0	551									39		7058		
kw_0734	a.15	D	4	MAH	SIL	CR	R	80	0	27											7057		
kw_0735	a.15	D	5	ECM	SIL	CR	FS2	90	0	519									16		7051		
kw_0736	a.15	D	6	IRF	SIL	CR	FS2	100	0	428									27		7054		
kw_0737	a.15	D	7	ECM	SIL	CR	X	80															
kw_0738	a.15	D	8	BNK	SIL	CR	R	90	0	29											7048		
kw_0739	a.15	D	9	BHM	SIL	CR	R	90	0	16											TINY		
kw_0740	a.15	D	10	LTM	SIL	CR	B	90	0	217													
kw_0741	a.15	E	1	PAR	SIL	CR	X	100															
kw_0742	a.15	E	2	EGM	SIL	CR	R	70	0	16													
kw_0743	a.15	E	3	MIL	SIL	CR	SO	80	0	433									29				
kw_0744	a.15	E	4	SAD	SIL	CR	R	90	0	50													
kw_0745	a.15	E	5	PCS	SIL	CR	X	100															
kw_0746	a.15	E	6	BVM	SIL	CR	M																
kw_0747	a.15	E	7	PCS	SIL	CR	R	90	0	18											7059		
kw_0748	a.15	E	8	MAH	SIL	CR	R	90	0	33													
kw_0749	a.15	E	9	IRF	SIL	CR	FS2	90	0	356									19				
kw_0750	a.15	E	10	SIL	SIL	CR	FS1	100	0	214									9				
kw_0751	a.16	A	1	PCS	SIL	CR	R	70	0	40											7041		
kw_0752	a.16	A	2	BHS	SIL	CR	FS2	80	0	265									16		7031		
kw_0753	a.16	A	3	VNH	SIL	CR	X	90															
kw_0754	a.16	A	4	LTM	SIL	CR	FS2	90	0	300									17		7037		
kw_0755	a.16	A	5	PCS	SIL	CR	X	90															
kw_0756	a.16	A	6	IRF	SIL	CR	FS1	90	0	295									14		7036		
kw_0757	a.16	A	7	MFP	SIL	CR	M																
kw_0758	a.16	A	8	DDW	SIL	CR	FS2	90	0	473									15		7033		
kw_0759	a.16	A	9	JAM	SIL	CR	X	90															
kw_0760	a.16	A	10	DDW	SIL	CR	FS2	90	0	348									21				
kw_0761	a.16	B	1	MIL	SIL	CR	FS1	90	0	452									16		7040		
kw_0762	a.16	B	2	PAR	SIL	CR	M																
kw_0763	a.16	B	3	BVC	SIL	CR	M																
kw_0764	a.16	B	4	WHC	SIL	CR	FO	90	0	219											7046		
kw_0765	a.16	B	5	BVM	SIL	CR	X	100															
kw_0766	a.16	B	6	PAR	SIL	CR	X	100															
kw_0767	a.16	B	7	VNH	SIL	CR	R	90	0	28											7045		
kw_0768	a.16	B	8	SIL	SIL	CR	FS1	90	0	363									12		7043		
kw_0769	a.16	B	9	FLF	SIL	CR	R	80	0	25													
kw_0770	a.16	B	10	BNK	SIL	CR	X	100															
kw_0771	a.16	C	1	MAH	SIL	CR	X	90															
kw_0772	a.16	C	2	BVM	SIL	CR	X	100															
kw_0773	a.16	C	3	EGM	SIL	CR	FS2	80	0	511									12		7035		
kw_0774	a.16	C	4	JAM	SIL	CR	X	100															
kw_0775	a.16	C	5	HMC	SIL	CR	X	90															
kw_0776	a.16	C	6	BVC	SIL	CR	X	100															
kw_0777	a.16	C	7	ECM	SIL	CR	FS2	90	0	359									25		7034		
kw_0778	a.16	C	8	SIL	SIL	CR	FO	80	0	225													
kw_0779	a.16	C	9	WHC	SIL	CR	R	100	0	47													
kw_0780	a.16	C	10	LTM	SIL	CR	FS2	100	0	369									19				
kw_0781	a.16	D	1	ECM	SIL	CR	X	90															
kw_0782	a.16	D	2	BHM	SIL	CR	X	90															
kw_0783	a.16	D	3	MFP	SIL	CR	R	80	0	38											7039		
kw_0784	a.16	D	4	SAD	SIL	CR	FS2	80	0	413									18		7042		
kw_0785	a.16	D	5	HMC	SIL	CR	R	90	0	20													
kw_0786	a.16	D	6	RUB	SIL	CR	X	90															
kw_0787	a.16	D	7	SAD	SIL	CR	FS2	100	0	336									26				
kw_0788	a.16	D	8	THT	SIL	CR	FS1	80	0	275									14		7044		
kw_0789	a.16	D	9	BHS	SIL	CR	SO	90	0	190									21				
kw_0790	a.16	D	10	BNK	SIL	CR	X	100															
kw_0791	a.16	E	1	RUB	SIL	CR	X	100															
kw_0792	a.16	E	2	EGM	SIL	CR	B	100	1	179													
kw_0793	a.16	E	3	THT	SIL	CR	FS1	90	0	245									6				
kw_0794	a.16	E	4	FLF	SIL	CR	X	100															
kw_0795	a.16	E	5	MAH	SIL	CR	SO	90	0	282									38		7038		
kw_0796	a.16	E	6	BHM	SIL	CR	X	100															
kw_0797	a.16	E	7	MIL	SIL	CR	SO	100	0	412									34				
kw_0798	a.16	E	8	BSC	SIL	CR	R	80	0	35											7032		
kw_0799	a.16	E	9	BSC	SIL	CR	R	80	0	23													
kw_0800	a.16	E	10	IRF	SIL	CR	FS2	100	0	303									24				
kw_3201	s.01	A	1	BHS	SIL	CR	FS1	80	0	276									11		6363		
kw_3202	s.01	A	2	MIL	SIL	CR	FO	90	0	466													
kw_3203	s.01	A	3	SIL	SIL	CR	FO	80	0	286											6380		
kw_3204	s.01	A	4	THT	SIL	CR	R	70	0	47											6381		
kw_3205	s.01	A	5	BHM	SIL	CR	FO	80	0	453													
kw_3206	s.01	A	6	THT	SIL	CR	FO	80	0	301													
kw_3207	s.01	A	7	PAR	SIL	CR	FO	90	0	384											6377		
kw_3208	s.01	A	8	VNH	SIL	CR	FO	80	0	274													
kw_3209	s.01	A	9	RUB	SIL	CR	B	70	0	197											6379		
kw_3210	s.01	A	10	MFP	SIL	CR	B	90	0	233											6375		
kw_3211	s.01	B	1	DDW	SIL	CR	FO	70	0	312											6367		
kw_3212	s.01	B	2	SIL	SIL	CR	FO	60	0	241													
kw_3213	s.01	B	3	IRF	SIL	CR	FO	60	0	357											6371		
kw_3214	s.01	B	4	SAD	SIL	CR	X	90															
kw_3215	s.01	B	5	MAH	SIL	CR	X	80															
kw_3216	s.01	B	6	DDW	SIL	CR	FO	70	0	219													
kw_3217	s.01	B	7	FLF	SIL	CR	X	90															
kw_3218	s.01	B	8	BSC	SIL	CR	B	90	0	184											6364		
kw_3219	s.01	B	9	SAD	SIL	CR	X	90															
kw_3220	s.01	B	10	WHC	SIL	CR	B	100	0	85											6383		
kw_3221	s.01	C	1	MIL	SIL	CR	R	90	0	60											6376		
kw_3222	s.01	C	2	JAM	SIL	CR	FS2	80	0	353									17				
kw_3223	s.01	C	3	FLF	SIL	CR	FS1	80	0	353									15				
kw_3224	s.01	C	4	WHC	SIL	CR	B	100	0	59													
kw_3225	s.01	C	5	PAR	SIL	CR	X	80															
kw_3226	s.01	C	6	BNK	SIL	CR	X	90															
kw_3227	s.01	C	7	PCS	SIL	CR	FO	100	0	265											6378		
kw_3228	s.01	C	8	LTM	SIL	CR	FO	70	0	341											6373		
kw_3229	s.01	C	9	BVC	SIL	CR	X	90															
kw_3230	s.01	C	10	VNH	SIL	CR	R	90	0	57											6382		
kw_3231	s.01	D	1	BVM	SIL	CR	R	90	0	62													
kw_3232	s.01	D	2	HMC	SIL	CR	B	70	0	381											6370		
kw_3233	s.01	D	3	BSC	SIL	CR	X	60															
kw_3234	s.01	D	4	ECM	SIL	CR	FO	80	0	375													
kw_3235	s.01	D	5	LTM	SIL	CR	FO	90	0	458													
kw_3236	s.01	D	6	ECM	SIL	CR	B	80	0	234											6368		
kw_3237	s.01	D	7	MAH	SIL	CR	FS2	90	0	231									15		6374		
kw_3238	s.01	D	8	BVC	SIL	CR	B	100	0	138											6465		
kw_3239	s.01	D	9	RUB	SIL	CR	B	90	0	213													
kw_3240	s.01	D	10	PCS	SIL	CR	B	80	0	223													
kw_3241	s.01	E	1	BNK	SIL	CR	X	80															
kw_3242	s.01	E	2	BHM	SIL	CR	FS1	50	0	207									14		6362		
kw_3243	s.01	E	3	HMC	SIL	CR	B	50	0	378													
kw_3244	s.01	E	4	EGM	SIL	CR	FO	60	0	507											6369		
kw_3245	s.01	E	5	IRF	SIL	CR	B	90	0	154													
kw_3246	s.01	E	6	MFP	SIL	CR	FS1	90	0	387									18				
kw_3247	s.01	E	7	BHS	SIL	CR	FO	80	0	391													
kw_3248	s.01	E	8	EGM	SIL	CR	B	90	0	271													
kw_3249	s.01	E	9	JAM	SIL	CR	FS2	100	0	447									12		6372		
kw_3250	s.01	E	10	BVM	SIL	CR	B	100	0	244											6366		
kw_3251	s.02	A	1	BHM	SIL	CR	FO	90	0	399											6384		
kw_3252	s.02	A	2	MIL	SIL	CR	X	80															
kw_3253	s.02	A	3	SAD	SIL	CR	R	80	0	22											6402		
kw_3254	s.02	A	4	BVM	SIL	CR	B	80	0	238											6389		
kw_3255	s.02	A	5	RUB	SIL	CR	B	90	0	143											6401		
kw_3256	s.02	A	6	FLF	SIL	CR	FO	80	0	245											6393		
kw_3257	s.02	A	7	LTM	SIL	CR	X	70															
kw_3258	s.02	A	8	SAD	SIL	CR	X	80															
kw_3259	s.02	A	9	HMC	SIL	CR	B	90	0	313											6394		
kw_3260	s.02	A	10	ECM	SIL	CR	B	100	0	300											6391		
kw_3261	s.02	B	1	BVC	SIL	CR	B	100	0	82											6388		
kw_3262	s.02	B	2	MFP	SIL	CR	FO	80	0	387											6398		
kw_3263	s.02	B	3	PAR	SIL	CR	FO	70	0	366											6399		
kw_3264	s.02	B	4	PCS	SIL	CR	X	70															
kw_3265	s.02	B	5	THT	SIL	CR	B	80	0	115											6404		
kw_3266	s.02	B	6	RUB	SIL	CR	B	100	0	148													
kw_3267	s.02	B	7	MAH	SIL	CR	X	60															
kw_3268	s.02	B	8	VNH	SIL	CR	B	80	0	268											6405		
kw_3269	s.02	B	9	BHS	SIL	CR	FO	100	0	302											6385		
kw_3270	s.02	B	10	SIL	SIL	CR	B	90	0	225											6403		
kw_3271	s.02	C	1	WHC	SIL	CR	R	70	0	47											6406		
kw_3272	s.02	C	2	MAH	SIL	CR	X	70															
kw_3273	s.02	C	3	THT	SIL	CR	B	80	0	255													
kw_3274	s.02	C	4	EGM	SIL	CR	B	70	0	447											6392		
kw_3275	s.02	C	5	BNK	SIL	CR	X	90															
kw_3276	s.02	C	6	IRF	SIL	CR	B	80	0	121											6395		
kw_3277	s.02	C	7	DDW	SIL	CR	B	90	0	213											6390		
kw_3278	s.02	C	8	IRF	SIL	CR	B	100	0	145													
kw_3279	s.02	C	9	BNK	SIL	CR	FO	80	0	305											6386		
kw_3280	s.02	C	10	BSC	SIL	CR	B	90	0	243											6387		
kw_3281	s.02	D	1	JAM	SIL	CR	FS2	90	0	438									8				
kw_3282	s.02	D	2	VNH	SIL	CR	FO	80	0	299													
kw_3283	s.02	D	3	BVM	SIL	CR	B	70	0	252													
kw_3284	s.02	D	4	LTM	SIL	CR	FO	80	0	377											6397		
kw_3285	s.02	D	5	PCS	SIL	CR	X	90															
kw_3286	s.02	D	6	BHS	SIL	CR	FO	90	0	345													
kw_3287	s.02	D	7	JAM	SIL	CR	R	90	0	23											6396		
kw_3288	s.02	D	8	BSC	SIL	CR	B	80	0	208													
kw_3289	s.02	D	9	PAR	SIL	CR	FO	90	0	246											6400		
kw_3290	s.02	D	10	WHC	SIL	CR	X	80															
kw_3291	s.02	E	1	MIL	SIL	CR	X	100															
kw_3292	s.02	E	2	BHM	SIL	CR	FO	90	0	379													
kw_3293	s.02	E	3	MFP	SIL	CR	FO	80	0	434													
kw_3294	s.02	E	4	HMC	SIL	CR	B	90	0	385													
kw_3295	s.02	E	5	ECM	SIL	CR	R	90	0	55													
kw_3296	s.02	E	6	SIL	SIL	CR	B	90	0	252													
kw_3297	s.02	E	7	BVC	SIL	CR	X	90															
kw_3298	s.02	E	8	DDW	SIL	CR	B	80	0	318													
kw_3299	s.02	E	9	FLF	SIL	CR	X	80															
kw_3300	s.02	E	10	EGM	SIL	CR	B	90	0	467													
kw_3301	s.03	A	1	BNK	SIL	MW	X	70															
kw_3302	s.03	A	2	WHC	SIL	MW	B	90	0	103											6425		
kw_3303	s.03	A	3	MFP	SIL	MW	R	100	0	31											6418		
kw_3304	s.03	A	4	BSC	SIL	MW	B	80	0	105											6408		
kw_3305	s.03	A	5	PAR	SIL	MW	X	90															
kw_3306	s.03	A	6	MFP	SIL	MW	R	80	0	64													
kw_3307	s.03	A	7	EGM	SIL	MW	B	80	0	453													
kw_3308	s.03	A	8	DDW	SIL	MW	B	90	0	258											6410		
kw_3309	s.03	A	9	EGM	SIL	MW	B	60	0	237													
kw_3310	s.03	A	10	ECM	SIL	MW	FO	70	0	255													
kw_3311	s.03	B	1	BVM	SIL	MW	X	80															
kw_3312	s.03	B	2	LTM	SIL	MW	FO	90	0	258											6416		
kw_3313	s.03	B	3	PCS	SIL	MW	FO	100	0	160											6420		
kw_3314	s.03	B	4	BHS	SIL	MW	X	90															
kw_3315	s.03	B	5	THT	SIL	MW	B	100	0	187													
kw_3316	s.03	B	6	PAR	SIL	MW	R	80	0	38											6419		
kw_3317	s.03	B	7	ECM	SIL	MW	R	80	0	46											6411		
kw_3318	s.03	B	8	IRF	SIL	MW	B	90	0	45													
kw_3319	s.03	B	9	MAH	SIL	MW	FO	70	0	210											6417		
kw_3320	s.03	B	10	FLF	SIL	MW	R	80	0	42											6412		
kw_3321	s.03	C	1	RUB	SIL	MW	B	80	0	100													
kw_3322	s.03	C	2	BHM	SIL	MW	X	80															
kw_3323	s.03	C	3	SAD	SIL	MW	B	80	0	271											6422		
kw_3324	s.03	C	4	THT	SIL	MW	R	100	32												6424		
kw_3325	s.03	C	5	BHM	SIL	MW	X	80															
kw_3326	s.03	C	6	MIL	SIL	MW	FO	90	0	416													
kw_3327	s.03	C	7	FLF	SIL	MW	R	70	0	49													
kw_3328	s.03	C	8	BNK	SIL	MW	X	80															
kw_3329	s.03	C	9	PCS	SIL	MW	B	90	0	215													
kw_3330	s.03	C	10	IRF	SIL	MW	B	80	0	225											6414		
kw_3331	s.03	D	1	BVM	SIL	MW	X	70															
kw_3332	s.03	D	2	JAM	SIL	MW	B	80	0	55													
kw_3333	s.03	D	3	VNH	SIL	MW	X	90															
kw_3334	s.03	D	4	HMC	SIL	MW	B	100	0	227											6413		
kw_3335	s.03	D	5	VNH	SIL	MW	X	100															
kw_3336	s.03	D	6	JAM	SIL	MW	B	100	0	212											6415		
kw_3337	s.03	D	7	MAH	SIL	MW	X	80															
kw_3338	s.03	D	8	RUB	SIL	MW	B	90	0	109											6421		
kw_3339	s.03	D	9	BHS	SIL	MW	R	80	0	24											6407		
kw_3340	s.03	D	10	SIL	SIL	MW	B	80	0	221													
kw_3341	s.03	E	1	BVC	SIL	MW	B	70	0	271											6409		
kw_3342	s.03	E	2	DDW	SIL	MW	FO	80	0	285													
kw_3343	s.03	E	3	SAD	SIL	MW	X	90															
kw_3344	s.03	E	4	SIL	SIL	MW	B	100	0	248											6423		
kw_3345	s.03	E	5	HMC	SIL	MW	X	90															
kw_3346	s.03	E	6	LTM	SIL	MW	B	80	0	160													
kw_3347	s.03	E	7	WHC	SIL	MW	X	90															
kw_3348	s.03	E	8	BSC	SIL	MW	B	90	0	198													
kw_3349	s.03	E	9	MIL	SIL	MW	FO	100	0	485													
kw_3350	s.03	E	10	BVC	SIL	MW	B	70	0	183													
kw_3351	s.04	A	1	DDW	SIL	MW	FO	100	0	308													
kw_3352	s.04	A	2	WHC	SIL	MW	FO	100	0	217													
kw_3353	s.04	A	3	ECM	SIL	MW	FO	100	0	359													
kw_3354	s.04	A	4	EGM	SIL	MW	FO	90	0	416											6432		
kw_3355	s.04	A	5	JAM	SIL	MW	X	80															
kw_3356	s.04	A	6	BNK	SIL	MW	B	70	0	200											6428		
kw_3357	s.04	A	7	ECM	SIL	MW	FO	80	0	415													
kw_3358	s.04	A	8	SAD	SIL	MW	B	70	0	224											6441		
kw_3359	s.04	A	9	IRF	SIL	MW	B	80	0	157											6434		
kw_3360	s.04	A	10	MFP	SIL	MW	R	80	0	43											6438		
kw_3361	s.04	B	1	BVC	SIL	MW	R	60	0	25													
kw_3362	s.04	B	2	PCS	SIL	MW	B	70	0	285											6440		
kw_3363	s.04	B	3	HMC	SIL	MW	R	70	0	9													
kw_3364	s.04	B	4	BVM	SIL	MW	X	90															
kw_3365	s.04	B	5	BVM	SIL	MW	X	80															
kw_3366	s.04	B	6	SIL	SIL	MW	B	70	0	246											6442		
kw_3367	s.04	B	7	BNK	SIL	MW	B	70	0	238													
kw_3368	s.04	B	8	DDW	SIL	MW	B	100	0	236											6431		
kw_3369	s.04	B	9	BHS	SIL	MW	FO	100	0	319													
kw_3370	s.04	B	10	WHC	SIL	MW	FO	100	0	215											6850		
kw_3371	s.04	C	1	VNH	SIL	MW	FO	90	0	314											6849		
kw_3372	s.04	C	2	EGM	SIL	MW	FO	90	0	449													
kw_3373	s.04	C	3	MIL	SIL	MW	FO	90	0	347											6439		
kw_3374	s.04	C	4	MIL	SIL	MW	B	80	0	105													
kw_3375	s.04	C	5	THT	SIL	MW	R	70	0	45													
kw_3376	s.04	C	6	PCS	SIL	MW	FO	80	0	305													
kw_3377	s.04	C	7	BVC	SIL	MW	R	80	0	56											6430		
kw_3378	s.04	C	8	MAH	SIL	MW	X	80															
kw_3379	s.04	C	9	IRF	SIL	MW	B	100	0	185													
kw_3380	s.04	C	10	MFP	SIL	MW	X	80															
kw_3381	s.04	D	1	MAH	SIL	MW	FO	70	0	216											6437		
kw_3382	s.04	D	2	BHS	SIL	MW	FO	80	0	285											6427		
kw_3383	s.04	D	3	RUB	SIL	MW	X	70															
kw_3384	s.04	D	4	BSC	SIL	MW	FO	70	0	263											6429		
kw_3385	s.04	D	5	FLF	SIL	MW	R	70	0	22											6433		
kw_3386	s.04	D	6	THT	SIL	MW	B	80	0	53											6848		
kw_3387	s.04	D	7	PAR	SIL	MW	X	90															
kw_3388	s.04	D	8	VNH	SIL	MW	X	90															
kw_3389	s.04	D	9	RUB	SIL	MW	X	80															
kw_3390	s.04	D	10	JAM	SIL	MW	FS1	80	0	555									11		6435		
kw_3391	s.04	E	1	BHM	SIL	MW	R	70	0	52											6426		
kw_3392	s.04	E	2	SAD	SIL	MW	R	60	0	74													
kw_3393	s.04	E	3	LTM	SIL	MW	B	80	0	200											6436		
kw_3394	s.04	E	4	HMC	SIL	MW	X	70															
kw_3395	s.04	E	5	SIL	SIL	MW	B	90	0	224													
kw_3396	s.04	E	6	BHM	SIL	MW	FO	100	0	180													
kw_3397	s.04	E	7	BSC	SIL	MW	B	100	0	193													
kw_3398	s.04	E	8	FLF	SIL	MW	R	90	0	44													
kw_3399	s.04	E	9	PAR	SIL	MW	X	90															
