Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NOTES
kw_0666	a.14	B	6	WHC	SIL	MW	SO		0	350		0	0	0	6	0	0	
kw_0667	a.14	B	7	PCS	SIL	MW	X											
kw_0668	a.14	B	8	BVC	SIL	MW	X											
kw_0669	a.14	B	9	FLF	SIL	MW	R		0	31		12	5	10				
kw_0670	a.14	B	10	BNK	SIL	MW	X											
kw_0671	a.14	C	1	BSC	SIL	MW	SO		0	436		0	0	0	2	0	0	
kw_0672	a.14	C	2	JAM	SIL	MW	SO		0	293		7	3	25	10	5	15	
kw_0673	a.14	C	3	DDW	SIL	MW	SO		0	505		0	0	0	11	1	10	
kw_0674	a.14	C	4	ECM	SIL	MW	SO		0	564		0	0	0	7	0	0	
kw_0675	a.14	C	5	HMC	SIL	MW	X											
kw_0676	a.14	C	6	BVC	SIL	MW	M											
kw_0677	a.14	C	7	IRF	SIL	MW	SO		0	397		7	0	0	10	0	0	
kw_0678	a.14	C	8	MAH	SIL	MW	X											
kw_0679	a.14	C	9	BHM	SIL	MW	R		0	41		24	8	15				
kw_0680	a.14	C	10	WHC	SIL	MW	SO		0	382		24	0	0	6	4	10	
kw_0681	a.14	D	1	BHM	SIL	MW	X											
kw_0682	a.14	D	2	ECM	SIL	MW	SO		0	566		0	0	0	11	2	10	
kw_0683	a.14	D	3	VNH	SIL	MW	X											
kw_0684	a.14	D	4	BHS	SIL	MW	R		0	12		6	0	0				
kw_0685	a.14	D	5	PAR	SIL	MW	X											
kw_0686	a.14	D	6	IRF	SIL	MW	SO		0	416		8	4	15	0	0	0	
kw_0687	a.14	D	7	FLF	SIL	MW	X											
kw_0688	a.14	D	8	MFP	SIL	MW	M											
kw_0689	a.14	D	9	RUB	SIL	MW	X											
kw_0690	a.14	D	10	THT	SIL	MW	R		0	39		23	0	0				
kw_0691	a.14	E	1	BHS	SIL	MW	R		0	42		12	0	0				
kw_0692	a.14	E	2	HMC	SIL	MW	R		0	20		8	0	0				
kw_0693	a.14	E	3	EGM	SIL	MW	X											
kw_0694	a.14	E	4	SAD	SIL	MW	SO		0	323		0	0	0	2	1	100	
kw_0695	a.14	E	5	PAR	SIL	MW	M											
kw_0696	a.14	E	6	MIL	SIL	MW	SO		0	575		0	0	0	1	0	0	
kw_0697	a.14	E	7	MAH	SIL	MW	SO		1	255		3	0	0	6	2	5	
kw_0698	a.14	E	8	SIL	SIL	MW	SO		1	193		10	8	15	5	1	25	PARTIAL TCO
kw_0699	a.14	E	9	EGM	SIL	MW	X											
kw_0700	a.14	E	10	MFP	SIL	MW	M											
kw_0701	a.15	A	1	WHC	SIL	MW	R		0	41		15	1	75				
kw_0702	a.15	A	2	BHS	SIL	MW	R		0	36		11	4	20				
kw_0703	a.15	A	3	BVC	SIL	MW	M											
kw_0704	a.15	A	4	JAM	SIL	MW	X											
kw_0705	a.15	A	5	THT	SIL	MW	R		0	42		13	0	0				
kw_0706	a.15	A	6	VNH	SIL	MW	R		0	10		5	0	0				
kw_0707	a.15	A	7	WHC	SIL	MW	R		0	25		8	2	30				
kw_0708	a.15	A	8	EGM	SIL	MW	FS		0	428		0	0	0	14	1	10	
kw_0709	a.15	A	9	BHS	SIL	MW	B		1	133		6	0	0	8	2	15	
kw_0710	a.15	A	10	MFP	SIL	MW	M											
kw_0711	a.15	B	1	DDW	SIL	MW	SO		0	444		2	0	0	12	0	0	
kw_0712	a.15	B	2	RUB	SIL	MW	R		0	14		5	0	0				
kw_0713	a.15	B	3	BSC	SIL	MW	R		0	65		15	0	0				
kw_0714	a.15	B	4	BVM	SIL	MW	M											
kw_0715	a.15	B	5	FLF	SIL	MW	R		0	37		13	1	10				
kw_0716	a.15	B	6	BHM	SIL	MW	X											
kw_0717	a.15	B	7	LTM	SIL	MW	SO		0	399		0	0	0	14	1	10	
kw_0718	a.15	B	8	FLF	SIL	MW	R		0	25		9	0	0				
kw_0719	a.15	B	9	THT	SIL	MW	SO		0	427		0	0	0	7	2	15	
kw_0720	a.15	B	10	HMC	SIL	MW	X											
kw_0721	a.15	C	1	HMC	SIL	MW	R		0	18		6	0	0				
kw_0722	a.15	C	2	MFP	SIL	MW	M											
kw_0723	a.15	C	3	RUB	SIL	MW	X											
kw_0724	a.15	C	4	VNH	SIL	MW	R		0	41		9	0	0				
kw_0725	a.15	C	5	BNK	SIL	MW	X											
kw_0726	a.15	C	6	DDW	SIL	MW	SO		0	460		10	0	0	15	5	20	
kw_0727	a.15	C	7	PAR	SIL	MW	M											
kw_0728	a.15	C	8	SIL	SIL	MW	SO		0	190		8	4	20	6	6	60	
kw_0729	a.15	C	9	BVC	SIL	MW	M											
kw_0730	a.15	C	10	BSC	SIL	MW	R		0	54		13	0	0				
kw_0731	a.15	D	1	JAM	SIL	MW	SO		0	283		0	0	0	6	0	0	
kw_0732	a.15	D	2	SAD	SIL	MW	R		0	42		12	0	0				
kw_0733	a.15	D	3	MIL	SIL	MW	SO		0	636		0	0	0	14	8	20	
kw_0734	a.15	D	4	MAH	SIL	MW	R		0	40		7	0	0				
kw_0735	a.15	D	5	ECM	SIL	MW	SO		0	603		0	0	0	17	8	5	
kw_0736	a.15	D	6	IRF	SIL	MW	SO		0	483		8	0	0	4	2	10	
kw_0737	a.15	D	7	ECM	SIL	MW	X											
kw_0738	a.15	D	8	BNK	SIL	MW	R		0	30		9	0	0				
kw_0739	a.15	D	9	BHM	SIL	MW	R		0	27		7	2	5				
kw_0740	a.15	D	10	LTM	SIL	MW	FS		1	213		13	7	15	16	12	15	PARTIAL TCO
kw_0741	a.15	E	1	PAR	SIL	MW	M											
kw_0742	a.15	E	2	EGM	SIL	MW	R		0	27		7	0	0				
kw_0743	a.15	E	3	MIL	SIL	MW	SO		0	461		0	0	0	6	4	15	
kw_0744	a.15	E	4	SAD	SIL	MW	R		0	4		13	0	0				
kw_0745	a.15	E	5	PCS	SIL	MW	X											
kw_0746	a.15	E	6	BVM	SIL	MW	M											
kw_0747	a.15	E	7	PCS	SIL	MW	R		0	32		7	0	0				
kw_0748	a.15	E	8	MAH	SIL	MW	R		0	40		13	0	0				
kw_0749	a.15	E	9	IRF	SIL	MW	SO		0	432		1	0	0	6	0	0	
kw_0750	a.15	E	10	SIL	SIL	MW	SO		0	330		8	1	10	13	7	10	
kw_0751	a.16	A	1	PCS	SIL	MW	R		0	51		10	1	5				
kw_0752	a.16	A	2	BHS	SIL	MW	SO		0	326		2	0	0	9	1	5	
kw_0753	a.16	A	3	VNH	SIL	MW	X											
kw_0754	a.16	A	4	LTM	SIL	MW	SO		0	348		4	0	0	12	1	15	
kw_0755	a.16	A	5	PCS	SIL	MW	X											
kw_0756	a.16	A	6	IRF	SIL	MW	SO		0	358		6	0	0	13	1	5	
kw_0757	a.16	A	7	MFP	SIL	MW	M											
kw_0758	a.16	A	8	DDW	SIL	MW	SO		0	517		14	0	0	22	18	15	
kw_0759	a.16	A	9	JAM	SIL	MW	X											
kw_0760	a.16	A	10	DDW	SIL	MW	SO		0	435		3	0	0	9	1	5	
kw_0761	a.16	B	1	MIL	SIL	MW	FS		1	457		0	0	0	17	5	10	
kw_0762	a.16	B	2	PAR	SIL	MW	M											
kw_0763	a.16	B	3	BVC	SIL	MW	M											
kw_0764	a.16	B	4	WHC	SIL	MW	SO		0	250		1	0	0	6	0	0	
kw_0765	a.16	B	5	BVM	SIL	MW	M											
kw_0766	a.16	B	6	PAR	SIL	MW	M											
kw_0767	a.16	B	7	VNH	SIL	MW	R		0	39		11	1	5				
kw_0768	a.16	B	8	SIL	SIL	MW	SO		0	419		1	1	10	8	6	15	
kw_0769	a.16	B	9	FLF	SIL	MW	R		0	28		10	0	0				
kw_0770	a.16	B	10	BNK	SIL	MW	X											
kw_0771	a.16	C	1	MAH	SIL	MW	X											
kw_0772	a.16	C	2	BVM	SIL	MW	M											
kw_0773	a.16	C	3	EGM	SIL	MW	SO		0	601		0	0	0	16	5	15	
kw_0774	a.16	C	4	JAM	SIL	MW	M											
kw_0775	a.16	C	5	HMC	SIL	MW	X											
kw_0776	a.16	C	6	BVC	SIL	MW	M											
kw_0777	a.16	C	7	ECM	SIL	MW	SO		0	403		1	0	0	13	1	10	
kw_0778	a.16	C	8	SIL	SIL	MW	SO		0	348		5	0	0	6	4	15	
kw_0779	a.16	C	9	WHC	SIL	MW	R		0	46		26	0	0				
kw_0780	a.16	C	10	LTM	SIL	MW	SO		0	433		3	0	0	12	8	10	
kw_0781	a.16	D	1	ECM	SIL	MW	X											
kw_0782	a.16	D	2	BHM	SIL	MW	R		0	44		11	1	20				
kw_0783	a.16	D	3	MFP	SIL	MW	M											
kw_0784	a.16	D	4	SAD	SIL	MW	SO		1	491		6	0	0	6	0	0	PARTIAL TCO
kw_0785	a.16	D	5	HMC	SIL	MW	R		0	28		10	0	0				
kw_0786	a.16	D	6	RUB	SIL	MW	X											
kw_0787	a.16	D	7	SAD	SIL	MW	SO		0	413		4	1	10	5	0	0	
kw_0788	a.16	D	8	THT	SIL	MW	SO		0	328		0	0	0	5	2	20	
kw_0789	a.16	D	9	BHS	SIL	MW	SO		0	210		2	0	0	8	2	5	
kw_0790	a.16	D	10	BNK	SIL	MW	X											
kw_0791	a.16	E	1	RUB	SIL	MW	X											
kw_0792	a.16	E	2	EGM	SIL	MW	FS		1	197		1	0	0	16	0	0	
kw_0793	a.16	E	3	THT	SIL	MW	FS		0	236		7	1	10	10	1	60	
kw_0794	a.16	E	4	FLF	SIL	MW	R		0	35		11	0	0				
kw_0795	a.16	E	5	MAH	SIL	MW	SO		0	303		3	0	0	4	0	0	
kw_0796	a.16	E	6	BHM	SIL	MW	M											
kw_0797	a.16	E	7	MIL	SIL	MW	FO		1	88		14	0	0	10	2	60	
kw_0798	a.16	E	8	BSC	SIL	MW	R		0	47		12	0	0				
kw_0799	a.16	E	9	BSC	SIL	MW	R		0	28		6	0	0				
kw_0800	a.16	E	10	IRF	SIL	MW	SO		0	345		2	0	0	2	1	5	
kw_3201	s.01	A	1	BHS	SIL	CR	SO		0	348		0	0	0	9	2	5	
kw_3202	s.01	A	2	MIL	SIL	CR	FS		0	473		0	0	0	12	1	5	
kw_3203	s.01	A	3	SIL	SIL	CR	FS		1	398		3	1	10	13	0	0	
kw_3204	s.01	A	4	THT	SIL	CR	R		0	44		14	3	15				
kw_3205	s.01	A	5	BHM	SIL	CR	B		1	371		22	0	0	16	4	10	
kw_3206	s.01	A	6	THT	SIL	CR	B		1	253		0	0	0	16	3	5	
kw_3207	s.01	A	7	PAR	SIL	CR	SO		0	437		19	2	15	32	6	10	
kw_3208	s.01	A	8	VNH	SIL	CR	FO		1	260		0	0	0	25	4	10	
kw_3209	s.01	A	9	RUB	SIL	CR	B		1	215		11	2	15	22	4	20	
kw_3210	s.01	A	10	MFP	SIL	CR	SO		0	273		4	1	5	8	0	0	
kw_3211	s.01	B	1	DDW	SIL	CR	FS		1	358		0	0	0	22	1	5	
kw_3212	s.01	B	2	SIL	SIL	CR	FS		0	287		5	2	5	13	2	5	
kw_3213	s.01	B	3	IRF	SIL	CR	SO		0	493		7	4	5	7	0	0	
kw_3214	s.01	B	4	SAD	SIL	CR	X											
kw_3215	s.01	B	5	MAH	SIL	CR	X											
kw_3216	s.01	B	6	DDW	SIL	CR	FO		1	189		2	0	0	18	1	80	
kw_3217	s.01	B	7	FLF	SIL	CR	X											
kw_3218	s.01	B	8	BSC	SIL	CR	FO		1	202		0	0	0	20	3	5	
kw_3219	s.01	B	9	SAD	SIL	CR	X											
kw_3220	s.01	B	10	WHC	SIL	CR	B		1	148		0	0	0	13	3	5	
kw_3221	s.01	C	1	MIL	SIL	CR	R		0	69		10	3	20				
kw_3222	s.01	C	2	JAM	SIL	CR	SO		0	409		5	1	10	17	5	10	
kw_3223	s.01	C	3	FLF	SIL	CR	SO		1	358		0	0	0	7	0	0	
kw_3224	s.01	C	4	WHC	SIL	CR	B		1	351		0	0	0	19	0	0	
kw_3225	s.01	C	5	PAR	SIL	CR	X											
kw_3226	s.01	C	6	BNK	SIL	CR	X											
kw_3227	s.01	C	7	PCS	SIL	CR	SO		1	228		2	2	5	22	0	0	
kw_3228	s.01	C	8	LTM	SIL	CR	SO		0	474		0	0	0	14	2	5	
kw_3229	s.01	C	9	BVC	SIL	CR	X											
kw_3230	s.01	C	10	VNH	SIL	CR	R		0	73		17	2	5				
kw_3231	s.01	D	1	BVM	SIL	CR	R		0	57		22	12	20				
kw_3232	s.01	D	2	HMC	SIL	CR	FS		0	638		0	0	0	21	1	70	
kw_3233	s.01	D	3	BSC	SIL	CR	X											
kw_3234	s.01	D	4	ECM	SIL	CR	SO		1	374		0	0	0	12	3	5	
kw_3235	s.01	D	5	LTM	SIL	CR	B		1	421		22	1	10	20	2	5	
kw_3236	s.01	D	6	ECM	SIL	CR	FS		0	224		10	0	0	25	1	5	
kw_3237	s.01	D	7	MAH	SIL	CR	SO		0	261		27	2	5	14	3	5	
kw_3238	s.01	D	8	BVC	SIL	CR	B		1	200		12	0	0	6	2	10	
kw_3239	s.01	D	9	RUB	SIL	CR	B		1	261		11	1	5	13	3	30	
kw_3240	s.01	D	10	PCS	SIL	CR	FS		1	248		0	0	0	13	0	0	
kw_3241	s.01	E	1	BNK	SIL	CR	X											
kw_3242	s.01	E	2	BHM	SIL	CR	SO		1	569		0	0	0	16	3	10	
kw_3243	s.01	E	3	HMC	SIL	CR	SO		0	633		0	0	0	16	1	5	
kw_3244	s.01	E	4	EGM	SIL	CR	SO		0	673		0	0	0	18	5	5	
kw_3245	s.01	E	5	IRF	SIL	CR	B		1	163		4	0	0	10	1	50	
kw_3246	s.01	E	6	MFP	SIL	CR	SO		0	393		0	0	0	15	2	5	
kw_3247	s.01	E	7	BHS	SIL	CR	SO		0	443		0	0	0	12	1	70	
kw_3248	s.01	E	8	EGM	SIL	CR	FS		1	387		0	0	0	15	5	10	
kw_3249	s.01	E	9	JAM	SIL	CR	SO		0	525		0	0	0	11	2	5	
kw_3250	s.01	E	10	BVM	SIL	CR	B		1	275		19	2	5	13	1	5	
kw_3251	s.02	A	1	BHM	SIL	CR	FS		1	241		1	1	10	22	0	0	
kw_3252	s.02	A	2	MIL	SIL	CR	X											
kw_3253	s.02	A	3	SAD	SIL	CR	X											
kw_3254	s.02	A	4	BVM	SIL	CR	FS		1	428		0	0	0	16	0	0	
kw_3255	s.02	A	5	RUB	SIL	CR	SO		0	438		4	3	5	26	4	10	
kw_3256	s.02	A	6	FLF	SIL	CR	SO		0	383		0	0	0	8	2	10	
kw_3257	s.02	A	7	LTM	SIL	CR	X											
kw_3258	s.02	A	8	SAD	SIL	CR	X											
kw_3259	s.02	A	9	HMC	SIL	CR	FS		1	599		7	1	5	23	3	10	
kw_3260	s.02	A	10	ECM	SIL	CR	FS		1	386		0	0	0	13	1	5	
kw_3261	s.02	B	1	BVC	SIL	CR	SO		0	405		1	1	5	16	0	0	
kw_3262	s.02	B	2	MFP	SIL	CR	FS		1	335		3	0	0	26	6	10	
kw_3263	s.02	B	3	PAR	SIL	CR	SO		1	380		14	0	0	13	5	30	
kw_3264	s.02	B	4	PCS	SIL	CR	X											
kw_3265	s.02	B	5	THT	SIL	CR	SO		0	316		0	0	0	12	0	0	
kw_3266	s.02	B	6	RUB	SIL	CR	SO		0	416		6	3	5	25	5	5	
kw_3267	s.02	B	7	MAH	SIL	CR	X											
kw_3268	s.02	B	8	VNH	SIL	CR	SO		0	558		0	0	0	18	6	10	
kw_3269	s.02	B	9	BHS	SIL	CR	SO		0	488		0	0	0	15	2	5	
kw_3270	s.02	B	10	SIL	SIL	CR	B		1	188		4	0	0	20	7	40	
kw_3271	s.02	C	1	WHC	SIL	CR	R		0	59		22	0	0				
kw_3272	s.02	C	2	MAH	SIL	CR	X											
kw_3273	s.02	C	3	THT	SIL	CR	FS		1	4		0	0	0	24	2	5	
kw_3274	s.02	C	4	EGM	SIL	CR	SO		1	542		0	0	0	24	5	10	
kw_3275	s.02	C	5	BNK	SIL	CR	X											
kw_3276	s.02	C	6	IRF	SIL	CR	SO		0	391		10	7	20	13	0	0	
kw_3277	s.02	C	7	DDW	SIL	CR	SO		0	443		5	2	15	18	3	5	
kw_3278	s.02	C	8	IRF	SIL	CR	SO		0	443		5	4	20	16	10	20	
kw_3279	s.02	C	9	BNK	SIL	CR	FS		0	430		0	0	0	13	8	5	
kw_3280	s.02	C	10	BSC	SIL	CR	FS		1	316		8	0	0	22	3	10	
kw_3281	s.02	D	1	JAM	SIL	CR	SO		0	513		1	1	5	11	2	5	
kw_3282	s.02	D	2	VNH	SIL	CR	FS		1	296		0	0	0	28	3	5	
kw_3283	s.02	D	3	BVM	SIL	CR	B		1	153		4	0	0	10	0	0	
kw_3284	s.02	D	4	LTM	SIL	CR	FO		1	295		5	2	30	23	3	10	
kw_3285	s.02	D	5	PCS	SIL	CR	X											
kw_3286	s.02	D	6	BHS	SIL	CR	SO		0	479		0	0	0	11	6	5	
kw_3287	s.02	D	7	JAM	SIL	CR	R		0	18		4	1	10				
kw_3288	s.02	D	8	BSC	SIL	CR	SO		0	529		1	0	0	17	5	5	
kw_3289	s.02	D	9	PAR	SIL	CR	SO		0	482		11	0	0	16	4	5	
kw_3290	s.02	D	10	WHC	SIL	CR	X											
kw_3291	s.02	E	1	MIL	SIL	CR	X											
kw_3292	s.02	E	2	BHM	SIL	CR	FS		1	472		1	0	0	22	1	15	
kw_3293	s.02	E	3	MFP	SIL	CR	FS		1	560		1	0	0	16	1	5	
kw_3294	s.02	E	4	HMC	SIL	CR	FS		0	697		4	0	0	18	0	0	
kw_3295	s.02	E	5	ECM	SIL	CR	R		0	67		22	7	5				
kw_3296	s.02	E	6	SIL	SIL	CR	SO		0	496		5	0	0	14	1	5	
kw_3297	s.02	E	7	BVC	SIL	CR	R		0	29		5	0	0				
kw_3298	s.02	E	8	DDW	SIL	CR	B		1	282		23	0	0	19	5	30	
kw_3299	s.02	E	9	FLF	SIL	CR	X											
kw_3300	s.02	E	10	EGM	SIL	CR	B		1	457		0	0	0	26	2	5	
kw_3301	s.03	A	1	BNK	SIL	JL	X											
kw_3302	s.03	A	2	WHC	SIL	JL	FS		0	403		0	0	0	17	2	5	
kw_3303	s.03	A	3	MFP	SIL	JL	R		0	41		11	1	5	0	0	0	
kw_3304	s.03	A	4	BSC	SIL	JL	FS		0	151		0	0	0	12	1	10	
kw_3305	s.03	A	5	PAR	SIL	JL	X											
kw_3306	s.03	A	6	MFP	SIL	JL	R		0	54		12	1	10	0	0	0	
kw_3307	s.03	A	7	EGM	SIL	JL	SO		0	662		0	0	0	18	11	20	
kw_3308	s.03	A	8	DDW	SIL	JL	B		1	213		5	1	10	20	4	30	
kw_3309	s.03	A	9	EGM	SIL	JL	SO		0	411		0	0	0	15	2	15	
kw_3310	s.03	A	10	ECM	SIL	JL	SO		0	387		0	0	0	13	3	5	
kw_3311	s.03	B	1	BVM	SIL	JL	X											
kw_3312	s.03	B	2	LTM	SIL	JL	FS		0	430		5	0	0	14	3	5	
kw_3313	s.03	B	3	PCS	SIL	JL	SO		0	284		0	0	0	7	0	0	
kw_3314	s.03	B	4	BHS	SIL	JL	X											
kw_3315	s.03	B	5	THT	SIL	JL	B		1	193		3	1	10	20	2	10	
kw_3316	s.03	B	6	PAR	SIL	JL	R		0	47		17	0	0	0	0	0	
kw_3317	s.03	B	7	ECM	SIL	JL	R		0	50		9	2	5	0	0		
kw_3318	s.03	B	8	IRF	SIL	JL	B		0	216		0	0	0	27	1	10	DRIED OUT
kw_3319	s.03	B	9	MAH	SIL	JL	SO		0	327		2	0	0	11	0	0	
kw_3320	s.03	B	10	FLF	SIL	JL	R		0	41		10	2	5	0	0	0	
kw_3321	s.03	C	1	RUB	SIL	JL	SO		0	348		6	0	0	17	5	15	
kw_3322	s.03	C	2	BHM	SIL	JL	X											
kw_3323	s.03	C	3	SAD	SIL	JL	SO		0	456		0	0	0	9	3	40	
kw_3324	s.03	C	4	THT	SIL	JL	R		0	46		12	1	5	0	0	0	
kw_3325	s.03	C	5	BHM	SIL	JL	X											
kw_3326	s.03	C	6	MIL	SIL	JL	SO		1	532		0	0	0	16	1	30	
kw_3327	s.03	C	7	FLF	SIL	JL	R		0	45		25	2	15	0	0	0	
kw_3328	s.03	C	8	BNK	SIL	JL	X											
kw_3329	s.03	C	9	PCS	SIL	JL	SO		1	290		3	1	10	20	2	25	
kw_3330	s.03	C	10	IRF	SIL	JL	B		1	157		3	1	70	9	2	10	
kw_3331	s.03	D	1	BVM	SIL	JL	X											
kw_3332	s.03	D	2	JAM	SIL	JL	B		1	46		10	1	5	26	7	20	
kw_3333	s.03	D	3	VNH	SIL	JL	X											
kw_3334	s.03	D	4	HMC	SIL	JL	B		1	122		2	0	0	18	1	5	
kw_3335	s.03	D	5	VNH	SIL	JL	X											
kw_3336	s.03	D	6	JAM	SIL	JL	B		1	271		0	0	0	18	4	70	
kw_3337	s.03	D	7	MAH	SIL	JL	X											
kw_3338	s.03	D	8	RUB	SIL	JL	B		1	97		4	0	0	9	2	30	
kw_3339	s.03	D	9	BHS	SIL	JL	R		0	37		8	0	0	0	0	0	
kw_3340	s.03	D	10	SIL	SIL	JL	SO		0	440		3	0	0	17	3	10	
kw_3341	s.03	E	1	BVC	SIL	JL	B		1	264		6	0	0	22	2	5	
kw_3342	s.03	E	2	DDW	SIL	JL	SO		0	422		0	0	0	11	0	0	
kw_3343	s.03	E	3	SAD	SIL	JL	X											
kw_3344	s.03	E	4	SIL	SIL	JL	SO		0	420		0	0	0	6	3	15	
kw_3345	s.03	E	5	HMC	SIL	JL	X											
kw_3346	s.03	E	6	LTM	SIL	JL	FO		1	142		4	0	0	15	1	70	
kw_3347	s.03	E	7	WHC	SIL	JL	X											
kw_3348	s.03	E	8	BSC	SIL	JL	FS		1	206		0	0	0	15	5	20	
kw_3349	s.03	E	9	MIL	SIL	JL	B		1	388		0	0	0	13	3	50	
kw_3350	s.03	E	10	BVC	SIL	JL	SO		0	460		0	0	0	14	0	0	
kw_3351	s.04	A	1	DDW	SIL	JL	SO		1	425		6	1	10	19	3	10	
kw_3352	s.04	A	2	WHC	SIL	JL	SO		1	170		4	0	0	16	1	60	
kw_3353	s.04	A	3	ECM	SIL	JL	SO		0	485		0	0	0	12	5	10	
kw_3354	s.04	A	4	EGM	SIL	JL	SO		0	572		0	0	0	19	2	5	
kw_3355	s.04	A	5	JAM	SIL	JL	X											
kw_3356	s.04	A	6	BNK	SIL	JL	B		1	197		10	0	0	13	1	50	
kw_3357	s.04	A	7	ECM	SIL	JL	B		1	305		0	0	0	15	1	15	
kw_3358	s.04	A	8	SAD	SIL	JL	B		1	283		0	0	0	15	1	10	TOP DRIED OUT
kw_3359	s.04	A	9	IRF	SIL	JL	B		1	115		7	1	10	6	3	70	
kw_3360	s.04	A	10	MFP	SIL	JL	R		0	36		12	0	0	0	0	0	
kw_3361	s.04	B	1	BVC	SIL	JL	R		0	28		10	0	0	0	0	0	
