Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	Notes	RosHPLC	CauHPLC	FrHPLC
kw_2449	p.01	E	9	JAM	JAM	MW	X																	
kw_2450	p.01	E	10	BVM	JAM	MW	R		0	55		16	0	0										
kw_2451	p.02	A	1	BHM	JAM	JL	B		1	83		14	0	0										
kw_2452	p.02	A	2	MIL	JAM	JL	X																	
kw_2453	p.02	A	3	SAD	JAM	JL	X																	
kw_2454	p.02	A	4	BVM	JAM	JL	R		0	62		12	2	10										
kw_2455	p.02	A	5	RUB	JAM	JL	X																	
kw_2456	p.02	A	6	FLF	JAM	JL	B		1	65		18	6	15										
kw_2457	p.02	A	7	LTM	JAM	JL	X																	
kw_2458	p.02	A	8	SAD	JAM	JL	M																	
kw_2459	p.02	A	9	HMC	JAM	JL	M																	
kw_2460	p.02	A	10	ECM	JAM	JL	X																	
kw_2461	p.02	B	1	BVC	JAM	JL	M																	
kw_2462	p.02	B	2	MFP	JAM	JL	X																	
kw_2463	p.02	B	3	PAR	JAM	JL	X																	
kw_2464	p.02	B	4	PCS	JAM	JL	R		0	52		23	10	20										
kw_2465	p.02	B	5	THT	JAM	JL	X																	
kw_2466	p.02	B	6	RUB	JAM	JL	X																	
kw_2467	p.02	B	7	MAH	JAM	JL	X																	
kw_2468	p.02	B	8	VNH	JAM	JL	R		0	66		15	10	20										
kw_2469	p.02	B	9	BHS	JAM	JL	X																	
kw_2470	p.02	B	10	SIL	JAM	JL	B		1	93		3	0	0										
kw_2471	p.02	C	1	WHC	JAM	JL	X																	
kw_2472	p.02	C	2	MAH	JAM	JL	X																	
kw_2473	p.02	C	3	THT	JAM	JL	X																	
kw_2474	p.02	C	4	EGM	JAM	JL	B		1	78		5	1	50										
kw_2475	p.02	C	5	BNK	JAM	JL	X																	
kw_2476	p.02	C	6	IRF	JAM	JL	X																	
kw_2477	p.02	C	7	DDW	JAM	JL	B		0	46		12	8	10										
kw_2478	p.02	C	8	IRF	JAM	JL	X																	
kw_2479	p.02	C	9	BNK	JAM	JL	X																	
kw_2480	p.02	C	10	BSC	JAM	JL	M																	
kw_2481	p.02	D	1	JAM	JAM	JL	X																	
kw_2482	p.02	D	2	VNH	JAM	JL	R		0	56		15	1	10										
kw_2483	p.02	D	3	BVM	JAM	JL	R		0	46		36	5	10										
kw_2484	p.02	D	4	LTM	JAM	JL	X																	
kw_2485	p.02	D	5	PCS	JAM	JL	B		1	49		2	1	30										
kw_2486	p.02	D	6	BHS	JAM	JL	X																	
kw_2487	p.02	D	7	JAM	JAM	JL	B		1	41		13	1	5										
kw_2488	p.02	D	8	BSC	JAM	JL	SO		0	251		8	3	10					48					
kw_2489	p.02	D	9	PAR	JAM	JL	X																	
kw_2490	p.02	D	10	WHC	JAM	JL	M																	
kw_2491	p.02	E	1	MIL	JAM	JL	X																	
kw_2492	p.02	E	2	BHM	JAM	JL	R		0	51		15	7	15										
kw_2493	p.02	E	3	MFP	JAM	JL	R		0	37		13	6	20										
kw_2494	p.02	E	4	HMC	JAM	JL	X																	
kw_2495	p.02	E	5	ECM	JAM	JL	M																	
kw_2496	p.02	E	6	SIL	JAM	JL	R		0	37		17	5	10										
kw_2497	p.02	E	7	BVC	JAM	JL	SO		0	210		0							51					
kw_2498	p.02	E	8	DDW	JAM	JL	X																	
kw_2499	p.02	E	9	FLF	JAM	JL	X																	
kw_2500	p.02	E	10	EGM	JAM	JL	X																	
kw_2501	p.03	A	1	BNK	JAM	MW	X																	
kw_2502	p.03	A	2	WHC	JAM	MW	X																	
kw_2503	p.03	A	3	MFP	JAM	MW	X																	
kw_2504	p.03	A	4	BSC	JAM	MW	X																	
kw_2505	p.03	A	5	PAR	JAM	MW	X																	
kw_2506	p.03	A	6	MFP	JAM	MW	X																	
kw_2507	p.03	A	7	EGM	JAM	MW	X																	
kw_2508	p.03	A	8	DDW	JAM	MW	M																	
kw_2509	p.03	A	9	EGM	JAM	MW	X																	
kw_2510	p.03	A	10	ECM	JAM	MW	R		0	24		13	4	10										
kw_2511	p.03	B	1	BVM	JAM	MW	X																	
kw_2512	p.03	B	2	LTM	JAM	MW	X																	
kw_2513	p.03	B	3	PCS	JAM	MW	X																	
kw_2514	p.03	B	4	BHS	JAM	MW	X																	
kw_2515	p.03	B	5	THT	JAM	MW	X																	
kw_2516	p.03	B	6	PAR	JAM	MW	X																	
kw_2517	p.03	B	7	ECM	JAM	MW	X																	
kw_2518	p.03	B	8	IRF	JAM	MW	X																	
kw_2519	p.03	B	9	MAH	JAM	MW	X																	
kw_2520	p.03	B	10	FLF	JAM	MW	X																	
kw_2521	p.03	C	1	RUB	JAM	MW	X																	
kw_2522	p.03	C	2	BHM	JAM	MW	X																	
kw_2523	p.03	C	3	SAD	JAM	MW	X																	
kw_2524	p.03	C	4	THT	JAM	MW	B		0	94		9	0	0										
kw_2525	p.03	C	5	BHM	JAM	MW	B		0	63		7	4	5							TOP DRIED OUT			
kw_2526	p.03	C	6	MIL	JAM	MW	X																	
kw_2527	p.03	C	7	FLF	JAM	MW	R		0	39		22	7	15										
kw_2528	p.03	C	8	BNK	JAM	MW	X																	
kw_2529	p.03	C	9	PCS	JAM	MW	B		1	58		9	3	5										
kw_2530	p.03	C	10	IRF	JAM	MW	R		0	50		14	8	30										
kw_2531	p.03	D	1	BVM	JAM	MW	X																	
kw_2532	p.03	D	2	JAM	JAM	MW	X																	
kw_2533	p.03	D	3	VNH	JAM	MW	X																	
kw_2534	p.03	D	4	HMC	JAM	MW	X																	
kw_2535	p.03	D	5	VNH	JAM	MW	FO		0	38		10	3	10										
kw_2536	p.03	D	6	JAM	JAM	MW	R		0	33		13	0	0										
kw_2537	p.03	D	7	MAH	JAM	MW	X																	
kw_2538	p.03	D	8	RUB	JAM	MW	X																	
kw_2539	p.03	D	9	BHS	JAM	MW	X																	
kw_2540	p.03	D	10	SIL	JAM	MW	FS1		0	191		12	1	5					10					
kw_2541	p.03	E	1	BVC	JAM	MW	M																	
kw_2542	p.03	E	2	DDW	JAM	MW	X																	
kw_2543	p.03	E	3	SAD	JAM	MW	R		0	29	26	6	1	10										
kw_2544	p.03	E	4	SIL	JAM	MW	R		0	42		13	1	5										
kw_2545	p.03	E	5	HMC	JAM	MW	X																	
kw_2546	p.03	E	6	LTM	JAM	MW	X																	
kw_2547	p.03	E	7	WHC	JAM	MW	X																	
kw_2548	p.03	E	8	BSC	JAM	MW	FO		0	106		6	0	0										
kw_2549	p.03	E	9	MIL	JAM	MW	X																	
kw_2550	p.03	E	10	BVC	JAM	MW	R		0	17		7	4	10							REGROWTH			
kw_2551	p.04	A	1	DDW	JAM	KW	X																	
kw_2552	p.04	A	2	WHC	JAM	KW	X																	
kw_2553	p.04	A	3	ECM	JAM	KW	X																	
kw_2554	p.04	A	4	EGM	JAM	KW	R		0	24		7	0	0										
kw_2555	p.04	A	5	JAM	JAM	KW	X																	
kw_2556	p.04	A	6	BNK	JAM	KW	X																	
kw_2557	p.04	A	7	ECM	JAM	KW	X																	
kw_2558	p.04	A	8	SAD	JAM	KW	X																	
kw_2559	p.04	A	9	IRF	JAM	KW	X																	
kw_2560	p.04	A	10	MFP	JAM	KW	X																	
kw_2561	p.04	B	1	BVC	JAM	KW	FS1		0	161		6	1	5					9					
kw_2562	p.04	B	2	PCS	JAM	KW	X																	
kw_2563	p.04	B	3	HMC	JAM	KW	R		0	31		17	1	10										
kw_2564	p.04	B	4	BVM	JAM	KW	X																	
kw_2565	p.04	B	5	BVM	JAM	KW	R		0	40		14	1	15										
kw_2566	p.04	B	6	SIL	JAM	KW	R		0	41		11	1	20										
kw_2567	p.04	B	7	BNK	JAM	KW	R		0	18		6	0	0							REGROWTH			
kw_2568	p.04	B	8	DDW	JAM	KW	X																	
kw_2569	p.04	B	9	BHS	JAM	KW	X																	
kw_2570	p.04	B	10	WHC	JAM	KW	X																	
kw_2571	p.04	C	1	VNH	JAM	KW	X																	
kw_2572	p.04	C	2	EGM	JAM	KW	X																	
kw_2573	p.04	C	3	MIL	JAM	KW	B		1	41		6	1	10										
kw_2574	p.04	C	4	MIL	JAM	KW	B		0	39		8	0	0										
kw_2575	p.04	C	5	THT	JAM	KW	X																	
kw_2576	p.04	C	6	PCS	JAM	KW	SO		0	412		0	0	0					55		FRUITS CHEWED			
kw_2577	p.04	C	7	BVC	JAM	KW	X																	
kw_2578	p.04	C	8	MAH	JAM	KW	X																	
kw_2579	p.04	C	9	IRF	JAM	KW	R		0	35		8	2	15										
kw_2580	p.04	C	10	MFP	JAM	KW	X																	
kw_2581	p.04	D	1	MAH	JAM	KW	X																	
kw_2582	p.04	D	2	BHS	JAM	KW	X																	
kw_2583	p.04	D	3	RUB	JAM	KW	R		0	38		15	2	15										
kw_2584	p.04	D	4	BSC	JAM	KW	X																	
kw_2585	p.04	D	5	FLF	JAM	KW	FO		0	124		1	1	5										
kw_2586	p.04	D	6	THT	JAM	KW	X																	
kw_2587	p.04	D	7	PAR	JAM	KW	X																	
kw_2588	p.04	D	8	VNH	JAM	KW	B		0	73		8	2	20										
kw_2589	p.04	D	9	RUB	JAM	KW	X																	
kw_2590	p.04	D	10	JAM	JAM	KW	X																	
kw_2591	p.04	E	1	BHM	JAM	KW	X																	
kw_2592	p.04	E	2	SAD	JAM	KW	X																	
kw_2593	p.04	E	3	LTM	JAM	KW	FO		0	144		14	0	0										
kw_2594	p.04	E	4	HMC	JAM	KW	R		0	43		24	3	15										
kw_2595	p.04	E	5	SIL	JAM	KW	FO		0	118		4	0	0										
kw_2596	p.04	E	6	BHM	JAM	KW	R		0	44		13	5	10										
kw_2597	p.04	E	7	BSC	JAM	KW	R		0	45		12	1	5										
kw_2598	p.04	E	8	FLF	JAM	KW	B		0	204		4	0	0										
kw_2599	p.04	E	9	PAR	JAM	KW	X																	
kw_2600	p.04	E	10	LTM	JAM	KW	B		1	41		10	4	35										
kw_2601	p.05	A	1	BHM	JAM	MW	B		1	126		0	0	0										
kw_2602	p.05	A	2	MIL	JAM	MW	SO		0	215		1	0	0					29					
kw_2603	p.05	A	3	SIL	JAM	MW	FS2		0	218		1	0	0					21					
kw_2604	p.05	A	4	DDW	JAM	MW	R		0	37		14	10	15										
kw_2605	p.05	A	5	LTM	JAM	MW	B		1	56		5	3	10										
kw_2606	p.05	A	6	BHS	JAM	MW	X																	
kw_2607	p.05	A	7	BVC	JAM	MW	X																	
kw_2608	p.05	A	8	WHC	JAM	MW	FS2		0	206		4	0	0					15					
kw_2609	p.05	A	9	ECM	JAM	MW	R		0	36		10	1	5										
kw_2610	p.05	A	10	THT	JAM	MW	R		0	44		18	1	5										
kw_2611	p.05	B	1	VNH	JAM	MW	X																	
kw_2612	p.05	B	2	MAH	JAM	MW	X																	
kw_2613	p.05	B	3	SAD	JAM	MW	R		0	39		13	2	10										
kw_2614	p.05	B	4	FLF	JAM	MW	FS2		0	358		6	1	10					46					
kw_2615	p.05	B	5	RUB	JAM	MW	B		0	78		13	1	5										
kw_2616	p.05	B	6	BSC	JAM	MW	X																	
kw_2617	p.05	B	7	ECM	JAM	MW	R		0	37		14	0	0										
kw_2618	p.05	B	8	DDW	JAM	MW	X																	
kw_2619	p.05	B	9	BVC	JAM	MW	X																	
kw_2620	p.05	B	10	PCS	JAM	MW	FS1		0	254		6	3	10					39					
kw_2621	p.05	C	1	PAR	JAM	MW	SO		0	209		4	1	60					61					
kw_2622	p.05	C	2	RUB	JAM	MW	X																	
kw_2623	p.05	C	3	BHS	JAM	MW	X																	
kw_2624	p.05	C	4	BSC	JAM	MW	FS2		0	390		4	0	0					61					
kw_2625	p.05	C	5	SAD	JAM	MW	R		0	43		24	3	10										
kw_2626	p.05	C	6	EGM	JAM	MW	X																	
kw_2627	p.05	C	7	VNH	JAM	MW	X																	
kw_2628	p.05	C	8	LTM	JAM	MW	FS2		0	230		7	0	0					63					
kw_2629	p.05	C	9	MAH	JAM	MW	FO		0	86		12	2	5							TOP DRIED OUT			
kw_2630	p.05	C	10	BNK	JAM	MW	X																	
kw_2631	p.05	D	1	IRF	JAM	MW	FS2		0	203		6	1	10					29					
kw_2632	p.05	D	2	WHC	JAM	MW	X																	
kw_2633	p.05	D	3	BHM	JAM	MW	B		1	56		12	3	5										
kw_2634	p.05	D	4	IRF	JAM	MW	R		0	69		12	1	15										
kw_2635	p.05	D	5	MFP	JAM	MW	X																	
kw_2636	p.05	D	6	JAM	JAM	MW	X																	
kw_2637	p.05	D	7	SIL	JAM	MW	R		0	50		15	0	0										
kw_2638	p.05	D	8	HMC	JAM	MW	R		0	41		19	0	0										
kw_2639	p.05	D	9	THT	JAM	MW	X																	
kw_2640	p.05	D	10	PAR	JAM	MW	X																	
kw_2641	p.05	E	1	JAM	JAM	MW	B		1	81		9	0	0										
kw_2642	p.05	E	2	BVM	JAM	MW	X																	
kw_2643	p.05	E	3	EGM	JAM	MW	FO		1	234		0	0	0										
kw_2644	p.05	E	4	MFP	JAM	MW	X																	
kw_2645	p.05	E	5	BVM	JAM	MW	FS1		0	278		8	0	0					21					
kw_2646	p.05	E	6	FLF	JAM	MW	X																	
kw_2647	p.05	E	7	PCS	JAM	MW	B		1	227		5	2	5										
kw_2648	p.05	E	8	MIL	JAM	MW	X																	
kw_2649	p.05	E	9	HMC	JAM	MW	X																	
kw_2650	p.05	E	10	BNK	JAM	MW	X																	
kw_2651	p.06	A	1	BNK	JAM	CR	SO		0	293		0	0	0					42					
kw_2652	p.06	A	2	MIL	JAM	CR	FO		1	140		0												
kw_2653	p.06	A	3	PAR	JAM	CR	X																	
kw_2654	p.06	A	4	ECM	JAM	CR	X																	
kw_2655	p.06	A	5	ECM	JAM	CR	SO		0	285		3	0	0					52					
kw_2656	p.06	A	6	BSC	JAM	CR	SO		0	343		0							59					
kw_2657	p.06	A	7	RUB	JAM	CR	FS2		0	135		8	0	0					26					
kw_2658	p.06	A	8	THT	JAM	CR	SO		0	212		6	1	10					52					
kw_2659	p.06	A	9	MAH	JAM	CR	X																	
kw_2660	p.06	A	10	BHM	JAM	CR	X																	
kw_2661	p.06	B	1	SIL	JAM	CR	R		0	49		14	2	5										
kw_2662	p.06	B	2	WHC	JAM	CR	SO		0	282		0							34					
kw_2663	p.06	B	3	MAH	JAM	CR	X																	
kw_2664	p.06	B	4	THT	JAM	CR	R		0	34		15	8	5										
kw_2665	p.06	B	5	BHM	JAM	CR	SO		0	318		0							61					
kw_2666	p.06	B	6	PCS	JAM	CR	SO		0	199		5	0	0					34		34			
kw_2667	p.06	B	7	DDW	JAM	CR	X																	
kw_2668	p.06	B	8	BVM	JAM	CR	SO		0	468		2	0	0					65					
kw_2669	p.06	B	9	DDW	JAM	CR	R		0	43		12	2	30										
kw_2670	p.06	B	10	RUB	JAM	CR	X																	
kw_2671	p.06	C	1	BHS	JAM	CR	X																	
kw_2672	p.06	C	2	JAM	JAM	CR	SO		0	343		0							13		APHIDS			
kw_2673	p.06	C	3	IRF	JAM	CR	SO		0	186		8	0	0					37					
kw_2674	p.06	C	4	EGM	JAM	CR	SO		0	533		0							70					
kw_2675	p.06	C	5	HMC	JAM	CR	X																	
kw_2676	p.06	C	6	WHC	JAM	CR	R		0	38		12	5	10										
kw_2677	p.06	C	7	BVC	JAM	CR	X																	
kw_2678	p.06	C	8	VNH	JAM	CR	X																	
kw_2679	p.06	C	9	PAR	JAM	CR	FS2		0	150		9	1	5					31					
kw_2680	p.06	C	10	BVM	JAM	CR	R		0	44		12	1	5										
kw_2681	p.06	D	1	JAM	JAM	CR	R		0	34		9	0	0										
kw_2682	p.06	D	2	FLF	JAM	CR	SO		0	368		2	0	0					53					
kw_2683	p.06	D	3	BNK	JAM	CR	SO		0	308		0							57					
kw_2684	p.06	D	4	LTM	JAM	CR	SO		0	267		6	0	0					52					
kw_2685	p.06	D	5	MFP	JAM	CR	X																	
kw_2686	p.06	D	6	BSC	JAM	CR	B		1	81		12	6	30										
kw_2687	p.06	D	7	SAD	JAM	CR	X																	
kw_2688	p.06	D	8	BVC	JAM	CR	R		0	59		12	1	5										
kw_2689	p.06	D	9	IRF	JAM	CR	R		0	52		12	8	15										
kw_2690	p.06	D	10	BHS	JAM	CR	X																	
kw_2691	p.06	E	1	HMC	JAM	CR	B		0	217		3	0	0							TOP DRIED OUT			
kw_2692	p.06	E	2	LTM	JAM	CR	X																	
kw_2693	p.06	E	3	MIL	JAM	CR	SO		0	380		0							58					
kw_2694	p.06	E	4	VNH	JAM	CR	R		0	59		16	8	10										
kw_2695	p.06	E	5	MFP	JAM	CR	X																	
kw_2696	p.06	E	6	SIL	JAM	CR	SO		0	373		4	0	0					58					
kw_2697	p.06	E	7	EGM	JAM	CR	SO		0	393		0							56					
kw_2698	p.06	E	8	FLF	JAM	CR	SO		0	286		0							55					
kw_2699	p.06	E	9	SAD	JAM	CR	X																	
kw_2700	p.06	E	10	PCS	JAM	CR	R		0	19		25	5	10										
kw_2701	p.07	A	1	PAR	JAM	CR	X																	
kw_2702	p.07	A	2	MAH	JAM	CR	X																	
kw_2703	p.07	A	3	THT	JAM	CR	X														DRIED OUT			
kw_2704	p.07	A	4	BVM	JAM	CR	R		0	39		22	2	5										
kw_2705	p.07	A	5	WHC	JAM	CR	X																	
kw_2706	p.07	A	6	RUB	JAM	CR	X																	
kw_2707	p.07	A	7	JAM	JAM	CR	X																	
kw_2708	p.07	A	8	BSC	JAM	CR	X																	
kw_2709	p.07	A	9	FLF	JAM	CR	X																	
kw_2710	p.07	A	10	EGM	JAM	CR	X																	
kw_2711	p.07	B	1	ECM	JAM	CR	SO		0	355		3	0	0					81					
kw_2712	p.07	B	2	WHC	JAM	CR	X																	
kw_2713	p.07	B	3	BSC	JAM	CR	X																	
kw_2714	p.07	B	4	BVC	JAM	CR	X																	
kw_2715	p.07	B	5	SIL	JAM	CR	SO		0	219		4	0	0					18		TOP DRIED OUT			
kw_2716	p.07	B	6	BHS	JAM	CR	X																	
kw_2717	p.07	B	7	SAD	JAM	CR	X																	
kw_2718	p.07	B	8	MFP	JAM	CR	M																	
kw_2719	p.07	B	9	MAH	JAM	CR	X																	
kw_2720	p.07	B	10	PCS	JAM	CR	X																	
kw_2721	p.07	C	1	MIL	JAM	CR	X																	
kw_2722	p.07	C	2	PAR	JAM	CR	X																	
kw_2723	p.07	C	3	ECM	JAM	CR	X																	
kw_2724	p.07	C	4	IRF	JAM	CR	R		0	46		14	0	0										
kw_2725	p.07	C	5	SIL	JAM	CR	R		0	41		13	6	10										
kw_2726	p.07	C	6	PCS	JAM	CR	X																	
kw_2727	p.07	C	7	VNH	JAM	CR	X																	
kw_2728	p.07	C	8	MFP	JAM	CR	X																	
kw_2729	p.07	C	9	LTM	JAM	CR	B		1	72		3	1	30										
kw_2730	p.07	C	10	MIL	JAM	CR	X																	
kw_2731	p.07	D	1	DDW	JAM	CR	R		0	35		9	2	5										
kw_2732	p.07	D	2	IRF	JAM	CR	R		0	29		14	1	5										
kw_2733	p.07	D	3	SAD	JAM	CR	X																	
kw_2734	p.07	D	4	EGM	JAM	CR	X																	
kw_2735	p.07	D	5	BHM	JAM	CR	R		0	49		22	5	15										
kw_2736	p.07	D	6	THT	JAM	CR	FS2			184		4	2	10					24					
kw_2737	p.07	D	7	DDW	JAM	CR	X																	
kw_2738	p.07	D	8	BNK	JAM	CR	X																	
kw_2739	p.07	D	9	BHS	JAM	CR	X																	
kw_2740	p.07	D	10	JAM	JAM	CR	SO		0	292		0	0	0					48					
kw_2741	p.07	E	1	FLF	JAM	CR	X																	
kw_2742	p.07	E	2	BVC	JAM	CR	X																	
kw_2743	p.07	E	3	RUB	JAM	CR	B		1	50		9	1	30										
kw_2744	p.07	E	4	HMC	JAM	CR	R		0	39		15	0	0										
kw_2745	p.07	E	5	BVM	JAM	CR	R		0	44		24	6	30										
kw_2746	p.07	E	6	LTM	JAM	CR	B		1	90		5	0	0										
kw_2747	p.07	E	7	VNH	JAM	CR	B		1	71		6	0	0										
kw_2748	p.07	E	8	BHM	JAM	CR	R		0	33		13	3	5										
kw_2749	p.07	E	9	BNK	JAM	CR	X																	
kw_2750	p.07	E	10	HMC	JAM	CR	X																	
kw_2751	p.08	A	1	JAM	JAM	RK	X																	
kw_2752	p.08	A	2	VNH	JAM	RK	X																	
kw_2753	p.08	A	3	FLF	JAM	RK	X																	
kw_2754	p.08	A	4	MFP	JAM	RK	X																	
kw_2755	p.08	A	5	IRF	JAM	RK	X																	
kw_2756	p.08	A	6	SIL	JAM	RK	R		0	21		9	0	0					0					
kw_2757	p.08	A	7	WHC	JAM	RK	X																	
kw_2758	p.08	A	8	BNK	JAM	RK	X																	
kw_2759	p.08	A	9	ECM	JAM	RK	M																	
kw_2760	p.08	A	10	MAH	JAM	RK	X																	
kw_2761	p.08	B	1	SAD	JAM	RK	X																	
kw_2762	p.08	B	2	BHM	JAM	RK	X																	
kw_2763	p.08	B	3	THT	JAM	RK	X																	
kw_2764	p.08	B	4	PAR	JAM	RK	X																	
kw_2765	p.08	B	5	BHS	JAM	RK	X																	
kw_2766	p.08	B	6	VNH	JAM	RK	X																	
kw_2767	p.08	B	7	LTM	JAM	RK	R		0	41		8	2	5					0					
kw_2768	p.08	B	8	MAH	JAM	RK	X																	
kw_2769	p.08	B	9	MIL	JAM	RK	X																	
kw_2770	p.08	B	10	BVC	JAM	RK	X																	
kw_2771	p.08	C	1	RUB	JAM	RK	X														BURIED BY GOPHERS			
kw_2772	p.08	C	2	DDW	JAM	RK	X														BURIED BY GOPHERS			
kw_2773	p.08	C	3	MIL	JAM	RK	X																	
kw_2774	p.08	C	4	BHM	JAM	RK	R		0	72		33	6	10					0		ENDOGENOUS? DON'T THINK SO			
kw_2775	p.08	C	5	BSC	JAM	RK	X																	
kw_2776	p.08	C	6	PCS	JAM	RK	X																	
kw_2777	p.08	C	7	SIL	JAM	RK	X																	
kw_2778	p.08	C	8	BVC	JAM	RK	X																	
kw_2779	p.08	C	9	BHS	JAM	RK	X																	
kw_2780	p.08	C	10	PAR	JAM	RK	X																	
kw_2781	p.08	D	1	PCS	JAM	RK	M																	
kw_2782	p.08	D	2	WHC	JAM	RK	X																	
kw_2783	p.08	D	3	SAD	JAM	RK	X																	
kw_2784	p.08	D	4	EGM	JAM	RK	X																	
kw_2785	p.08	D	5	JAM	JAM	RK	X																	
kw_2786	p.08	D	6	BSC	JAM	RK	X																	
kw_2787	p.08	D	7	HMC	JAM	RK	X																	
kw_2788	p.08	D	8	DDW	JAM	RK	R		0	35		8	3	10					0					
kw_2789	p.08	D	9	LTM	JAM	RK	X																	
kw_2790	p.08	D	10	THT	JAM	RK	X																	
kw_2791	p.08	E	1	FLF	JAM	RK	X																	
kw_2792	p.08	E	2	HMC	JAM	RK	X																	
kw_2793	p.08	E	3	BVM	JAM	RK	M																	
kw_2794	p.08	E	4	RUB	JAM	RK	X																	
kw_2795	p.08	E	5	MFP	JAM	RK	X																	
kw_2796	p.08	E	6	ECM	JAM	RK	X																	
kw_2797	p.08	E	7	EGM	JAM	RK	X																	
kw_2798	p.08	E	8	IRF	JAM	RK	M																	
kw_2799	p.08	E	9	BNK	JAM	RK	X																	
kw_2800	p.08	E	10	BVM	JAM	RK	X																	
kw_2801	p.09	A	1	HMC	JAM	JL	B		1	86		8	2	5										
kw_2802	p.09	A	2	VNH	JAM	JL	X																	
kw_2803	p.09	A	3	SIL	JAM	JL	FO		0	280		6	1	10										
kw_2804	p.09	A	4	SAD	JAM	JL	X																	
kw_2805	p.09	A	5	SIL	JAM	JL	R		0	53		15	1	10										
kw_2806	p.09	A	6	JAM	JAM	JL	X																	
kw_2807	p.09	A	7	DDW	JAM	JL	X																	
kw_2808	p.09	A	8	BHM	JAM	JL	R		0	57		22	7	15										
kw_2809	p.09	A	9	IRF	JAM	JL	R		0	47		13	2	5										
kw_2810	p.09	A	10	BVC	JAM	JL	X																	
kw_2811	p.09	B	1	BHS	JAM	JL	X																	
kw_2812	p.09	B	2	THT	JAM	JL	R		0	63		21	5	5										
kw_2813	p.09	B	3	PCS	JAM	JL	SO		0	322		11	2	10					56					
kw_2814	p.09	B	4	BSC	JAM	JL	X																	
kw_2815	p.09	B	5	LTM	JAM	JL	SO		0	118		6	4	10					13					
kw_2816	p.09	B	6	PAR	JAM	JL	X																	
kw_2817	p.09	B	7	JAM	JAM	JL	X																	
kw_2818	p.09	B	8	BNK	JAM	JL	X																	
kw_2819	p.09	B	9	BSC	JAM	JL	X																	
kw_2820	p.09	B	10	EGM	JAM	JL	X																	
