Plant_ID	Block	Row	Col	Genotype	Site	Stg_July25	Obs	Stg	TCO	H	cauLN	cauDLN	cauAD	N fruits left	Length fruit left	NOTES	LS
kw_2595	p.04	E	5	SIL	JAM	FO	RK	B	0	122	3	0	0			TOP DRIED OUT	
kw_2596	p.04	E	6	BHM	JAM	R	RK	R									
kw_2597	p.04	E	7	BSC	JAM	R	RK	R									
kw_2598	p.04	E	8	FLF	JAM	B	RK	B	0	222	23	5	20			FLOWERS DRIED UP	
kw_2599	p.04	E	9	PAR	JAM	X	RK	X									
kw_2600	p.04	E	10	LTM	JAM	B	RK	B	1	37	5	5	40				
kw_2601	p.05	A	1	BHM	JAM	B	RK	B	1	125	11	11	60				
kw_2602	p.05	A	2	MIL	JAM	SO	RK	SO	0	251	11	1	10	1	13		
kw_2603	p.05	A	3	SIL	JAM	FS2	RK	SO	0	226	16	3	10	1	12		
kw_2604	p.05	A	4	DDW	JAM	R	RK	R									
kw_2605	p.05	A	5	LTM	JAM	B	RK	B	1	55	6	3	50				
kw_2606	p.05	A	6	BHS	JAM	X	RK	X									
kw_2607	p.05	A	7	BVC	JAM	X	RK	X									
kw_2608	p.05	A	8	WHC	JAM	FS2	RK	SO	0	243	15	0	0	1	28		
kw_2609	p.05	A	9	ECM	JAM	R	RK	R									
kw_2610	p.05	A	10	THT	JAM	R	RK	R									
kw_2611	p.05	B	1	VNH	JAM	X	RK	X									
kw_2612	p.05	B	2	MAH	JAM	X	RK	X									
kw_2613	p.05	B	3	SAD	JAM	R	RK	R									
kw_2614	p.05	B	4	FLF	JAM	FS2	RK	SO	0	381	19	7	10	1	20		
kw_2615	p.05	B	5	RUB	JAM	B	RK	FO	0	91	14	4	10	FO			
kw_2616	p.05	B	6	BSC	JAM	X	RK	X									
kw_2617	p.05	B	7	ECM	JAM	R	RK	R									
kw_2618	p.05	B	8	DDW	JAM	X	RK	X									
kw_2619	p.05	B	9	BVC	JAM	X	RK	X									
kw_2620	p.05	B	10	PCS	JAM	FS1	RK	FS	0	265	13	2	10	FO			
kw_2621	p.05	C	1	PAR	JAM	SO	RK	SO	0	202	8	7	15	FO			
kw_2622	p.05	C	2	RUB	JAM	X	RK	X									
kw_2623	p.05	C	3	BHS	JAM	X	RK	M									
kw_2624	p.05	C	4	BSC	JAM	FS2	RK	SO	0	392	16	3	10	1	41		
kw_2625	p.05	C	5	SAD	JAM	R	RK	R									
kw_2626	p.05	C	6	EGM	JAM	X	RK	X									
kw_2627	p.05	C	7	VNH	JAM	X	RK	X									
kw_2628	p.05	C	8	LTM	JAM	FS2	RK	SO	0	233	16	11	15	1	30		
kw_2629	p.05	C	9	MAH	JAM	FO	RK	B	0	95	6	1	5			TOP DRIED OUT	
kw_2630	p.05	C	10	BNK	JAM	X	RK	X									
kw_2631	p.05	D	1	IRF	JAM	FS2	RK	SO	0	226	15	0	0	1	13		
kw_2632	p.05	D	2	WHC	JAM	X	RK	X									
kw_2633	p.05	D	3	BHM	JAM	B	RK	B	1	61	5	4	20				
kw_2634	p.05	D	4	IRF	JAM	R	RK	R									
kw_2635	p.05	D	5	MFP	JAM	X	RK	X									
kw_2636	p.05	D	6	JAM	JAM	X	RK	X									
kw_2637	p.05	D	7	SIL	JAM	R	RK	R									
kw_2638	p.05	D	8	HMC	JAM	R	RK	R									
kw_2639	p.05	D	9	THT	JAM	X	RK	X									
kw_2640	p.05	D	10	PAR	JAM	X	RK	X									
kw_2641	p.05	E	1	JAM	JAM	B	RK	B	1	76	5	4	10				
kw_2642	p.05	E	2	BVM	JAM	X	RK	X									
kw_2643	p.05	E	3	EGM	JAM	FO	RK	B	1	196	8	4	20				
kw_2644	p.05	E	4	MFP	JAM	X	RK	X									
kw_2645	p.05	E	5	BVM	JAM	FS1	RK	FS	0	311	17	4	10	1	27		
kw_2646	p.05	E	6	FLF	JAM	X	RK	X									
kw_2647	p.05	E	7	PCS	JAM	B	RK	B	1	231	10	6	40				
kw_2648	p.05	E	8	MIL	JAM	X	RK	X									
kw_2649	p.05	E	9	HMC	JAM	X	RK	X									
kw_2650	p.05	E	10	BNK	JAM	X	RK	X									
kw_2651	p.06	A	1	BNK	JAM	SO	MW	SO	0	306	12	0	0	1	35		
kw_2652	p.06	A	2	MIL	JAM	FO	MW	SO	1	195	8	0	0	FO		LEFT SOME BUDS	
kw_2653	p.06	A	3	PAR	JAM	X	MW	X									
kw_2654	p.06	A	4	ECM	JAM	X	MW	X									
kw_2655	p.06	A	5	ECM	JAM	SO	MW	SO	0	295	9	0	0	1	47		
kw_2656	p.06	A	6	BSC	JAM	SO	MW	SO	0	340	13	1	10	1	50		
kw_2657	p.06	A	7	RUB	JAM	FS2	MW	FS	0	147	14	1	10	1	4		
kw_2658	p.06	A	8	THT	JAM	SO	MW	SO	0	215	12	0	0	1	11		
kw_2659	p.06	A	9	MAH	JAM	X	MW	X									
kw_2660	p.06	A	10	BHM	JAM	X	MW	R									
kw_2661	p.06	B	1	SIL	JAM	R	MW	R									
kw_2662	p.06	B	2	WHC	JAM	SO	MW	SO	0	293	6	2	10	1	32		
kw_2663	p.06	B	3	MAH	JAM	X	MW	X									
kw_2664	p.06	B	4	THT	JAM	R	MW	R									
kw_2665	p.06	B	5	BHM	JAM	SO	MW	SO	0	314	10	4	15	0			
kw_2666	p.06	B	6	PCS	JAM	SO	MW	SO	0	188	11	4	15	0			
kw_2667	p.06	B	7	DDW	JAM	X	MW	X									
kw_2668	p.06	B	8	BVM	JAM	SO	MW	SO	0	479	17	2	10	1	63		
kw_2669	p.06	B	9	DDW	JAM	R	MW	R									
kw_2670	p.06	B	10	RUB	JAM	X	MW	X									
kw_2671	p.06	C	1	BHS	JAM	X	MW	X									
kw_2672	p.06	C	2	JAM	JAM	SO	MW	B	0	357	15	4	10			FRUITS DRIED OUT	
kw_2673	p.06	C	3	IRF	JAM	SO	MW	SO	0	193	12	1	5	1	4		
kw_2674	p.06	C	4	EGM	JAM	SO	MW	SO	0	533	20	3	5	1	70		
kw_2675	p.06	C	5	HMC	JAM	X	MW	X									
kw_2676	p.06	C	6	WHC	JAM	R	MW	R									
kw_2677	p.06	C	7	BVC	JAM	X	MW	X									
kw_2678	p.06	C	8	VNH	JAM	X	MW	X									
kw_2679	p.06	C	9	PAR	JAM	FS2	MW	SO	0	164	8	1	5	1	16		
kw_2680	p.06	C	10	BVM	JAM	R	MW	R									
kw_2681	p.06	D	1	JAM	JAM	R	MW	R									
kw_2682	p.06	D	2	FLF	JAM	SO	MW	SO	0	366	17	4	15	1	51		
kw_2683	p.06	D	3	BNK	JAM	SO	MW	SO	0	303	10	3	5	1	40		
kw_2684	p.06	D	4	LTM	JAM	SO	MW	SO	0	274	12	0	0	1	27		
kw_2685	p.06	D	5	MFP	JAM	X	MW	X									
kw_2686	p.06	D	6	BSC	JAM	B	MW	B	1	75	4	4	50				
kw_2687	p.06	D	7	SAD	JAM	X	MW	X									
kw_2688	p.06	D	8	BVC	JAM	R	MW	R									
kw_2689	p.06	D	9	IRF	JAM	R	MW	R									
kw_2690	p.06	D	10	BHS	JAM	X	MW	X									
kw_2691	p.06	E	1	HMC	JAM	B	MW	B	0	215	13	0	0			FRUITS CHEWED OFF	
kw_2692	p.06	E	2	LTM	JAM	X	MW	X									
kw_2693	p.06	E	3	MIL	JAM	SO	MW	SO	0	386	11	1	15	1	57		
kw_2694	p.06	E	4	VNH	JAM	R	MW	R									
kw_2695	p.06	E	5	MFP	JAM	X	MW	X									
kw_2696	p.06	E	6	SIL	JAM	SO	MW	SO	0	370	10	2	15	1	53		
kw_2697	p.06	E	7	EGM	JAM	SO	MW	SO	0	409	17	0	0	1	62		
kw_2698	p.06	E	8	FLF	JAM	SO	MW	SO	0	293	15	0	0	1	37		
kw_2699	p.06	E	9	SAD	JAM	X	MW	X									
kw_2700	p.06	E	10	PCS	JAM	R	MW	R									
kw_2701	p.07	A	1	PAR	JAM	X	JL	X									
kw_2702	p.07	A	2	MAH	JAM	X	JL	X									
kw_2703	p.07	A	3	THT	JAM	X	JL	X									
kw_2704	p.07	A	4	BVM	JAM	R	JL	R									
kw_2705	p.07	A	5	WHC	JAM	X	JL	X									
kw_2706	p.07	A	6	RUB	JAM	X	JL	X									
kw_2707	p.07	A	7	JAM	JAM	X	JL	X									
kw_2708	p.07	A	8	BSC	JAM	X	JL	X									
kw_2709	p.07	A	9	FLF	JAM	X	JL	X									
kw_2710	p.07	A	10	EGM	JAM	X	JL	X									
kw_2711	p.07	B	1	ECM	JAM	SO	JL	SO	0	361	11	2	10				
kw_2712	p.07	B	2	WHC	JAM	X	JL	X									
kw_2713	p.07	B	3	BSC	JAM	X	JL	X									
kw_2714	p.07	B	4	BVC	JAM	X	JL	X									
kw_2715	p.07	B	5	SIL	JAM	SO	JL	SO	0	221	10	3	15			TOP DRIED OUT	
kw_2716	p.07	B	6	BHS	JAM	X	JL	X									
kw_2717	p.07	B	7	SAD	JAM	X	JL	X									
kw_2718	p.07	B	8	MFP	JAM	M	JL	M									
kw_2719	p.07	B	9	MAH	JAM	X	JL	X									
kw_2720	p.07	B	10	PCS	JAM	X	JL	X									
kw_2721	p.07	C	1	MIL	JAM	X	JL	X									
kw_2722	p.07	C	2	PAR	JAM	X	JL	X									
kw_2723	p.07	C	3	ECM	JAM	X	JL	X									
kw_2724	p.07	C	4	IRF	JAM	R	JL	R									
kw_2725	p.07	C	5	SIL	JAM	R	JL	R									
kw_2726	p.07	C	6	PCS	JAM	X	JL	X									
kw_2727	p.07	C	7	VNH	JAM	X	JL	X									
kw_2728	p.07	C	8	MFP	JAM	X	JL	X									
kw_2729	p.07	C	9	LTM	JAM	B	JL	B	1	66	8	7	25				
kw_2730	p.07	C	10	MIL	JAM	X	JL	X									
kw_2731	p.07	D	1	DDW	JAM	R	JL	R									
kw_2732	p.07	D	2	IRF	JAM	R	JL	R									
kw_2733	p.07	D	3	SAD	JAM	X	JL	X									
kw_2734	p.07	D	4	EGM	JAM	X	JL	X									
kw_2735	p.07	D	5	BHM	JAM	R	JL	R									
kw_2736	p.07	D	6	THT	JAM	FS2	JL	SO	0	204	15	4	15				
kw_2737	p.07	D	7	DDW	JAM	X	JL	X									
kw_2738	p.07	D	8	BNK	JAM	X	JL	X									
kw_2739	p.07	D	9	BHS	JAM	X	JL	X									
kw_2740	p.07	D	10	JAM	JAM	SO	JL	SO	0	287	3	0	0				
kw_2741	p.07	E	1	FLF	JAM	X	JL	X									
kw_2742	p.07	E	2	BVC	JAM	X	JL	X									
kw_2743	p.07	E	3	RUB	JAM	B	JL	B	1	56	3	2	20				
kw_2744	p.07	E	4	HMC	JAM	R	JL	R									
kw_2745	p.07	E	5	BVM	JAM	R	JL	R									
kw_2746	p.07	E	6	LTM	JAM	B	JL	B	1	83	6	1	40				
kw_2747	p.07	E	7	VNH	JAM	B	JL	B	1	68	3	0	0				
kw_2748	p.07	E	8	BHM	JAM	R	JL	R									
kw_2749	p.07	E	9	BNK	JAM	X	JL	X									
kw_2750	p.07	E	10	HMC	JAM	X	JL	X									
kw_2751	p.08	A	1	JAM	JAM	X	JL	X									
kw_2752	p.08	A	2	VNH	JAM	X	JL	X									
kw_2753	p.08	A	3	FLF	JAM	X	JL	X									
kw_2754	p.08	A	4	MFP	JAM	X	JL	X									
kw_2755	p.08	A	5	IRF	JAM	X	JL	X									
kw_2756	p.08	A	6	SIL	JAM	R	JL	R									
kw_2757	p.08	A	7	WHC	JAM	X	JL	X									
kw_2758	p.08	A	8	BNK	JAM	X	JL	X									
kw_2759	p.08	A	9	ECM	JAM	M	JL	M									
kw_2760	p.08	A	10	MAH	JAM	X	JL	X									
kw_2761	p.08	B	1	SAD	JAM	X	JL	X									
kw_2762	p.08	B	2	BHM	JAM	X	JL	X									
kw_2763	p.08	B	3	THT	JAM	X	JL	X									
kw_2764	p.08	B	4	PAR	JAM	X	JL	X									
kw_2765	p.08	B	5	BHS	JAM	X	JL	X									
kw_2766	p.08	B	6	VNH	JAM	X	JL	X									
kw_2767	p.08	B	7	LTM	JAM	R	JL	R									
kw_2768	p.08	B	8	MAH	JAM	X	JL	X									
kw_2769	p.08	B	9	MIL	JAM	X	JL	X									
kw_2770	p.08	B	10	BVC	JAM	X	JL	X									
kw_2771	p.08	C	1	RUB	JAM	X	JL	X									
kw_2772	p.08	C	2	DDW	JAM	X	JL	X									
kw_2773	p.08	C	3	MIL	JAM	X	JL	X									
kw_2774	p.08	C	4	BHM	JAM	R	JL	X									
kw_2775	p.08	C	5	BSC	JAM	X	JL	X									
kw_2776	p.08	C	6	PCS	JAM	X	JL	X									
kw_2777	p.08	C	7	SIL	JAM	X	JL	X									
kw_2778	p.08	C	8	BVC	JAM	X	JL	X									
kw_2779	p.08	C	9	BHS	JAM	X	JL	X									
kw_2780	p.08	C	10	PAR	JAM	X	JL	X									
kw_2781	p.08	D	1	PCS	JAM	M	JL	M									
kw_2782	p.08	D	2	WHC	JAM	X	JL	X									
kw_2783	p.08	D	3	SAD	JAM	X	JL	X									
kw_2784	p.08	D	4	EGM	JAM	X	JL	X									
kw_2785	p.08	D	5	JAM	JAM	X	JL	X									
kw_2786	p.08	D	6	BSC	JAM	X	JL	X									
kw_2787	p.08	D	7	HMC	JAM	X	JL	X									
kw_2788	p.08	D	8	DDW	JAM	R	JL	R									
kw_2789	p.08	D	9	LTM	JAM	X	JL	X									
kw_2790	p.08	D	10	THT	JAM	X	JL	X									
kw_2791	p.08	E	1	FLF	JAM	X	JL	X									
kw_2792	p.08	E	2	HMC	JAM	X	JL	X									
kw_2793	p.08	E	3	BVM	JAM	M	JL	M									
kw_2794	p.08	E	4	RUB	JAM	X	JL	X									
kw_2795	p.08	E	5	MFP	JAM	X	JL	X									
kw_2796	p.08	E	6	ECM	JAM	X	JL	X									
kw_2797	p.08	E	7	EGM	JAM	X	JL	X									
kw_2798	p.08	E	8	IRF	JAM	M	JL	M									
kw_2799	p.08	E	9	BNK	JAM	X	JL	X									
kw_2800	p.08	E	10	BVM	JAM	X	JL	X									
kw_2801	p.09	A	1	HMC	JAM	B	MW	B	1	85	8	5	50				
kw_2802	p.09	A	2	VNH	JAM	X	MW	X									
kw_2803	p.09	A	3	SIL	JAM	FO	MW	FS	0	263	14	11	30				
kw_2804	p.09	A	4	SAD	JAM	X	MW	X									
kw_2805	p.09	A	5	SIL	JAM	R	MW	R									
kw_2806	p.09	A	6	JAM	JAM	X	MW	X									
kw_2807	p.09	A	7	DDW	JAM	X	MW	X									
kw_2808	p.09	A	8	BHM	JAM	R	MW	R									
kw_2809	p.09	A	9	IRF	JAM	R	MW	R									
kw_2810	p.09	A	10	BVC	JAM	X	MW	X									
kw_2811	p.09	B	1	BHS	JAM	X	MW	X								BURIED BY NEW GOPHER MOUND	
kw_2812	p.09	B	2	THT	JAM	R	MW	R									
kw_2813	p.09	B	3	PCS	JAM	SO	MW	SO	0	319	12	8	15	1	55		
kw_2814	p.09	B	4	BSC	JAM	X	MW	X									
kw_2815	p.09	B	5	LTM	JAM	SO	MW	FS	0	141	12	3	10	1	7		
kw_2816	p.09	B	6	PAR	JAM	X	MW	X									
kw_2817	p.09	B	7	JAM	JAM	X	MW	X									
kw_2818	p.09	B	8	BNK	JAM	X	MW	X									
kw_2819	p.09	B	9	BSC	JAM	X	MW	X									
kw_2820	p.09	B	10	EGM	JAM	X	MW	X									
kw_2821	p.09	C	1	RUB	JAM	X	MW	X									
kw_2822	p.09	C	2	LTM	JAM	X	MW	X									
