Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	
kw_3221	s.01	C	1	MIL	SIL																
kw_3222	s.01	C	2	JAM	SIL																
kw_3223	s.01	C	3	FLF	SIL																
kw_3224	s.01	C	4	WHC	SIL																
kw_3225	s.01	C	5	PAR	SIL																
kw_3226	s.01	C	6	BNK	SIL																
kw_3227	s.01	C	7	PCS	SIL																
kw_3228	s.01	C	8	LTM	SIL																
kw_3229	s.01	C	9	BVC	SIL																
kw_3230	s.01	C	10	VNH	SIL																
kw_3231	s.01	D	1	BVM	SIL																
kw_3232	s.01	D	2	HMC	SIL																
kw_3233	s.01	D	3	BSC	SIL																
kw_3234	s.01	D	4	ECM	SIL																
kw_3235	s.01	D	5	LTM	SIL																
kw_3236	s.01	D	6	ECM	SIL																
kw_3237	s.01	D	7	MAH	SIL																
kw_3238	s.01	D	8	BVC	SIL																
kw_3239	s.01	D	9	RUB	SIL																
kw_3240	s.01	D	10	PCS	SIL																
kw_3241	s.01	E	1	BNK	SIL																
kw_3242	s.01	E	2	BHM	SIL																
kw_3243	s.01	E	3	HMC	SIL																
kw_3244	s.01	E	4	EGM	SIL																
kw_3245	s.01	E	5	IRF	SIL																
kw_3246	s.01	E	6	MFP	SIL																
kw_3247	s.01	E	7	BHS	SIL																
kw_3248	s.01	E	8	EGM	SIL																
kw_3249	s.01	E	9	JAM	SIL																
kw_3250	s.01	E	10	BVM	SIL																
kw_3251	s.02	A	1	BHM	SIL																
kw_3252	s.02	A	2	MIL	SIL																
kw_3253	s.02	A	3	SAD	SIL																
kw_3254	s.02	A	4	BVM	SIL																
kw_3255	s.02	A	5	RUB	SIL																
kw_3256	s.02	A	6	FLF	SIL																
kw_3257	s.02	A	7	LTM	SIL																
kw_3258	s.02	A	8	SAD	SIL																
kw_3259	s.02	A	9	HMC	SIL																
kw_3260	s.02	A	10	ECM	SIL																
kw_3261	s.02	B	1	BVC	SIL																
kw_3262	s.02	B	2	MFP	SIL																
kw_3263	s.02	B	3	PAR	SIL																
kw_3264	s.02	B	4	PCS	SIL																
kw_3265	s.02	B	5	THT	SIL																
kw_3266	s.02	B	6	RUB	SIL																
kw_3267	s.02	B	7	MAH	SIL																
kw_3268	s.02	B	8	VNH	SIL																
kw_3269	s.02	B	9	BHS	SIL																
kw_3270	s.02	B	10	SIL	SIL																
kw_3271	s.02	C	1	WHC	SIL																
kw_3272	s.02	C	2	MAH	SIL																
kw_3273	s.02	C	3	THT	SIL																
kw_3274	s.02	C	4	EGM	SIL																
kw_3275	s.02	C	5	BNK	SIL																
kw_3276	s.02	C	6	IRF	SIL																
kw_3277	s.02	C	7	DDW	SIL																
kw_3278	s.02	C	8	IRF	SIL																
kw_3279	s.02	C	9	BNK	SIL																
kw_3280	s.02	C	10	BSC	SIL																
kw_3281	s.02	D	1	JAM	SIL																
kw_3282	s.02	D	2	VNH	SIL																
kw_3283	s.02	D	3	BVM	SIL																
kw_3284	s.02	D	4	LTM	SIL																
kw_3285	s.02	D	5	PCS	SIL																
kw_3286	s.02	D	6	BHS	SIL																
kw_3287	s.02	D	7	JAM	SIL																
kw_3288	s.02	D	8	BSC	SIL																
kw_3289	s.02	D	9	PAR	SIL																
kw_3290	s.02	D	10	WHC	SIL																
kw_3291	s.02	E	1	MIL	SIL																
kw_3292	s.02	E	2	BHM	SIL																
kw_3293	s.02	E	3	MFP	SIL																
kw_3294	s.02	E	4	HMC	SIL																
kw_3295	s.02	E	5	ECM	SIL																
kw_3296	s.02	E	6	SIL	SIL																
kw_3297	s.02	E	7	BVC	SIL																
kw_3298	s.02	E	8	DDW	SIL																
kw_3299	s.02	E	9	FLF	SIL																
kw_3300	s.02	E	10	EGM	SIL																
kw_3301	s.03	A	1	BNK	SIL																
kw_3302	s.03	A	2	WHC	SIL																
kw_3303	s.03	A	3	MFP	SIL																
kw_3304	s.03	A	4	BSC	SIL																
kw_3305	s.03	A	5	PAR	SIL																
kw_3306	s.03	A	6	MFP	SIL																
kw_3307	s.03	A	7	EGM	SIL																
kw_3308	s.03	A	8	DDW	SIL																
kw_3309	s.03	A	9	EGM	SIL																
kw_3310	s.03	A	10	ECM	SIL																
kw_3311	s.03	B	1	BVM	SIL																
kw_3312	s.03	B	2	LTM	SIL																
kw_3313	s.03	B	3	PCS	SIL																
kw_3314	s.03	B	4	BHS	SIL																
kw_3315	s.03	B	5	THT	SIL																
kw_3316	s.03	B	6	PAR	SIL																
kw_3317	s.03	B	7	ECM	SIL																
kw_3318	s.03	B	8	IRF	SIL																
kw_3319	s.03	B	9	MAH	SIL																
kw_3320	s.03	B	10	FLF	SIL																
kw_3321	s.03	C	1	RUB	SIL																
kw_3322	s.03	C	2	BHM	SIL																
kw_3323	s.03	C	3	SAD	SIL																
kw_3324	s.03	C	4	THT	SIL																
kw_3325	s.03	C	5	BHM	SIL																
kw_3326	s.03	C	6	MIL	SIL																
kw_3327	s.03	C	7	FLF	SIL																
kw_3328	s.03	C	8	BNK	SIL																
kw_3329	s.03	C	9	PCS	SIL																
kw_3330	s.03	C	10	IRF	SIL																
kw_3331	s.03	D	1	BVM	SIL																
kw_3332	s.03	D	2	JAM	SIL																
kw_3333	s.03	D	3	VNH	SIL																
kw_3334	s.03	D	4	HMC	SIL																
kw_3335	s.03	D	5	VNH	SIL																
kw_3336	s.03	D	6	JAM	SIL																
kw_3337	s.03	D	7	MAH	SIL																
kw_3338	s.03	D	8	RUB	SIL																
kw_3339	s.03	D	9	BHS	SIL																
kw_3340	s.03	D	10	SIL	SIL																
kw_3341	s.03	E	1	BVC	SIL																
kw_3342	s.03	E	2	DDW	SIL																
kw_3343	s.03	E	3	SAD	SIL																
kw_3344	s.03	E	4	SIL	SIL																
kw_3345	s.03	E	5	HMC	SIL																
kw_3346	s.03	E	6	LTM	SIL																
kw_3347	s.03	E	7	WHC	SIL																
kw_3348	s.03	E	8	BSC	SIL																
kw_3349	s.03	E	9	MIL	SIL																
kw_3350	s.03	E	10	BVC	SIL																
kw_3351	s.04	A	1	DDW	SIL																
kw_3352	s.04	A	2	WHC	SIL																
kw_3353	s.04	A	3	ECM	SIL																
kw_3354	s.04	A	4	EGM	SIL																
kw_3355	s.04	A	5	JAM	SIL																
kw_3356	s.04	A	6	BNK	SIL																
kw_3357	s.04	A	7	ECM	SIL																
kw_3358	s.04	A	8	SAD	SIL																
kw_3359	s.04	A	9	IRF	SIL																
kw_3360	s.04	A	10	MFP	SIL																
kw_3361	s.04	B	1	BVC	SIL																
kw_3362	s.04	B	2	PCS	SIL																
kw_3363	s.04	B	3	HMC	SIL																
kw_3364	s.04	B	4	BVM	SIL																
kw_3365	s.04	B	5	BVM	SIL																
kw_3366	s.04	B	6	SIL	SIL																
kw_3367	s.04	B	7	BNK	SIL																
kw_3368	s.04	B	8	DDW	SIL																
kw_3369	s.04	B	9	BHS	SIL																
kw_3370	s.04	B	10	WHC	SIL																
kw_3371	s.04	C	1	VNH	SIL																
kw_3372	s.04	C	2	EGM	SIL																
kw_3373	s.04	C	3	MIL	SIL																
kw_3374	s.04	C	4	MIL	SIL																
kw_3375	s.04	C	5	THT	SIL																
kw_3376	s.04	C	6	PCS	SIL																
kw_3377	s.04	C	7	BVC	SIL																
kw_3378	s.04	C	8	MAH	SIL																
kw_3379	s.04	C	9	IRF	SIL																
kw_3380	s.04	C	10	MFP	SIL																
kw_3381	s.04	D	1	MAH	SIL																
kw_3382	s.04	D	2	BHS	SIL																
kw_3383	s.04	D	3	RUB	SIL																
kw_3384	s.04	D	4	BSC	SIL																
kw_3385	s.04	D	5	FLF	SIL																
kw_3386	s.04	D	6	THT	SIL																
kw_3387	s.04	D	7	PAR	SIL																
kw_3388	s.04	D	8	VNH	SIL																
kw_3389	s.04	D	9	RUB	SIL																
kw_3390	s.04	D	10	JAM	SIL																
kw_3391	s.04	E	1	BHM	SIL																
kw_3392	s.04	E	2	SAD	SIL																
kw_3393	s.04	E	3	LTM	SIL																
kw_3394	s.04	E	4	HMC	SIL																
kw_3395	s.04	E	5	SIL	SIL																
kw_3396	s.04	E	6	BHM	SIL																
kw_3397	s.04	E	7	BSC	SIL																
kw_3398	s.04	E	8	FLF	SIL																
kw_3399	s.04	E	9	PAR	SIL																
kw_3400	s.04	E	10	LTM	SIL																
kw_3401	s.05	A	1	BHM	SIL																
kw_3402	s.05	A	2	MIL	SIL																
kw_3403	s.05	A	3	SIL	SIL																
kw_3404	s.05	A	4	DDW	SIL																
kw_3405	s.05	A	5	LTM	SIL																
kw_3406	s.05	A	6	BHS	SIL																
kw_3407	s.05	A	7	BVC	SIL																
kw_3408	s.05	A	8	WHC	SIL																
kw_3409	s.05	A	9	ECM	SIL																
kw_3410	s.05	A	10	THT	SIL																
kw_3411	s.05	B	1	VNH	SIL																
kw_3412	s.05	B	2	MAH	SIL																
kw_3413	s.05	B	3	SAD	SIL																
kw_3414	s.05	B	4	FLF	SIL																
kw_3415	s.05	B	5	RUB	SIL																
kw_3416	s.05	B	6	BSC	SIL																
kw_3417	s.05	B	7	ECM	SIL																
kw_3418	s.05	B	8	DDW	SIL																
kw_3419	s.05	B	9	BVC	SIL																
kw_3420	s.05	B	10	PCS	SIL																
kw_3421	s.05	C	1	PAR	SIL																
kw_3422	s.05	C	2	RUB	SIL																
kw_3423	s.05	C	3	BHS	SIL																
kw_3424	s.05	C	4	BSC	SIL																
kw_3425	s.05	C	5	SAD	SIL																
kw_3426	s.05	C	6	EGM	SIL																
kw_3427	s.05	C	7	VNH	SIL																
kw_3428	s.05	C	8	LTM	SIL																
kw_3429	s.05	C	9	MAH	SIL																
kw_3430	s.05	C	10	BNK	SIL																
kw_3431	s.05	D	1	IRF	SIL																
kw_3432	s.05	D	2	WHC	SIL																
kw_3433	s.05	D	3	BHM	SIL																
kw_3434	s.05	D	4	IRF	SIL																
kw_3435	s.05	D	5	MFP	SIL																
kw_3436	s.05	D	6	JAM	SIL																
kw_3437	s.05	D	7	SIL	SIL																
kw_3438	s.05	D	8	HMC	SIL																
kw_3439	s.05	D	9	THT	SIL																
kw_3440	s.05	D	10	PAR	SIL																
kw_3441	s.05	E	1	JAM	SIL																
kw_3442	s.05	E	2	BVM	SIL																
kw_3443	s.05	E	3	EGM	SIL																
kw_3444	s.05	E	4	MFP	SIL																
kw_3445	s.05	E	5	BVM	SIL																
kw_3446	s.05	E	6	FLF	SIL																
kw_3447	s.05	E	7	PCS	SIL																
kw_3448	s.05	E	8	MIL	SIL																
kw_3449	s.05	E	9	HMC	SIL																
kw_3450	s.05	E	10	BNK	SIL																
kw_3451	s.06	A	1	BNK	SIL																
kw_3452	s.06	A	2	MIL	SIL																
kw_3453	s.06	A	3	PAR	SIL																
kw_3454	s.06	A	4	ECM	SIL																
kw_3455	s.06	A	5	ECM	SIL																
kw_3456	s.06	A	6	BSC	SIL																
kw_3457	s.06	A	7	RUB	SIL																
kw_3458	s.06	A	8	THT	SIL																
kw_3459	s.06	A	9	MAH	SIL																
kw_3460	s.06	A	10	BHM	SIL																
kw_3461	s.06	B	1	SIL	SIL																
kw_3462	s.06	B	2	WHC	SIL																
kw_3463	s.06	B	3	MAH	SIL																
kw_3464	s.06	B	4	THT	SIL																
kw_3465	s.06	B	5	BHM	SIL																
kw_3466	s.06	B	6	PCS	SIL																
kw_3467	s.06	B	7	DDW	SIL																
kw_3468	s.06	B	8	BVM	SIL																
kw_3469	s.06	B	9	DDW	SIL																
kw_3470	s.06	B	10	RUB	SIL																
kw_3471	s.06	C	1	BHS	SIL																
kw_3472	s.06	C	2	JAM	SIL																
kw_3473	s.06	C	3	IRF	SIL																
kw_3474	s.06	C	4	EGM	SIL																
kw_3475	s.06	C	5	HMC	SIL																
kw_3476	s.06	C	6	WHC	SIL																
kw_3477	s.06	C	7	BVC	SIL																
kw_3478	s.06	C	8	VNH	SIL																
kw_3479	s.06	C	9	PAR	SIL																
kw_3480	s.06	C	10	BVM	SIL																
kw_3481	s.06	D	1	JAM	SIL																
kw_3482	s.06	D	2	FLF	SIL																
kw_3483	s.06	D	3	BNK	SIL																
kw_3484	s.06	D	4	LTM	SIL																
kw_3485	s.06	D	5	MFP	SIL																
kw_3486	s.06	D	6	BSC	SIL																
kw_3487	s.06	D	7	SAD	SIL																
kw_3488	s.06	D	8	BVC	SIL																
kw_3489	s.06	D	9	IRF	SIL																
kw_3490	s.06	D	10	BHS	SIL																
kw_3491	s.06	E	1	HMC	SIL																
kw_3492	s.06	E	2	LTM	SIL																
kw_3493	s.06	E	3	MIL	SIL																
kw_3494	s.06	E	4	VNH	SIL																
kw_3495	s.06	E	5	MFP	SIL																
kw_3496	s.06	E	6	SIL	SIL																
kw_3497	s.06	E	7	EGM	SIL																
kw_3498	s.06	E	8	FLF	SIL																
kw_3499	s.06	E	9	SAD	SIL																
kw_3500	s.06	E	10	PCS	SIL																
kw_3501	s.07	A	1	PAR	SIL																
kw_3502	s.07	A	2	MAH	SIL																
kw_3503	s.07	A	3	THT	SIL																
kw_3504	s.07	A	4	BVM	SIL																
kw_3505	s.07	A	5	WHC	SIL																
kw_3506	s.07	A	6	RUB	SIL																
kw_3507	s.07	A	7	JAM	SIL																
kw_3508	s.07	A	8	BSC	SIL																
kw_3509	s.07	A	9	FLF	SIL																
kw_3510	s.07	A	10	EGM	SIL																
kw_3511	s.07	B	1	ECM	SIL																
kw_3512	s.07	B	2	WHC	SIL																
kw_3513	s.07	B	3	BSC	SIL																
kw_3514	s.07	B	4	BVC	SIL																
kw_3515	s.07	B	5	SIL	SIL																
kw_3516	s.07	B	6	BHS	SIL																
kw_3517	s.07	B	7	SAD	SIL																
kw_3518	s.07	B	8	MFP	SIL																
kw_3519	s.07	B	9	MAH	SIL																
kw_3520	s.07	B	10	PCS	SIL																
kw_3521	s.07	C	1	MIL	SIL																
kw_3522	s.07	C	2	PAR	SIL																
kw_3523	s.07	C	3	ECM	SIL																
kw_3524	s.07	C	4	IRF	SIL																
kw_3525	s.07	C	5	SIL	SIL																
kw_3526	s.07	C	6	PCS	SIL																
kw_3527	s.07	C	7	VNH	SIL																
kw_3528	s.07	C	8	MFP	SIL																
kw_3529	s.07	C	9	LTM	SIL																
kw_3530	s.07	C	10	MIL	SIL																
kw_3531	s.07	D	1	DDW	SIL																
kw_3532	s.07	D	2	IRF	SIL																
kw_3533	s.07	D	3	SAD	SIL																
kw_3534	s.07	D	4	EGM	SIL																
kw_3535	s.07	D	5	BHM	SIL																
kw_3536	s.07	D	6	THT	SIL																
kw_3537	s.07	D	7	DDW	SIL																
kw_3538	s.07	D	8	BNK	SIL																
kw_3539	s.07	D	9	BHS	SIL																
kw_3540	s.07	D	10	JAM	SIL																
kw_3541	s.07	E	1	FLF	SIL																
kw_3542	s.07	E	2	BVC	SIL																
kw_3543	s.07	E	3	RUB	SIL																
kw_3544	s.07	E	4	HMC	SIL																
kw_3545	s.07	E	5	BVM	SIL																
kw_3546	s.07	E	6	LTM	SIL																
kw_3547	s.07	E	7	VNH	SIL																
kw_3548	s.07	E	8	BHM	SIL																
kw_3549	s.07	E	9	BNK	SIL																
kw_3550	s.07	E	10	HMC	SIL																
kw_3551	s.08	A	1	JAM	SIL																
kw_3552	s.08	A	2	VNH	SIL																
kw_3553	s.08	A	3	FLF	SIL																
kw_3554	s.08	A	4	MFP	SIL																
kw_3555	s.08	A	5	IRF	SIL																
kw_3556	s.08	A	6	SIL	SIL																
kw_3557	s.08	A	7	WHC	SIL																
kw_3558	s.08	A	8	BNK	SIL																
kw_3559	s.08	A	9	ECM	SIL																
kw_3560	s.08	A	10	MAH	SIL																
kw_3561	s.08	B	1	SAD	SIL																
kw_3562	s.08	B	2	BHM	SIL																
kw_3563	s.08	B	3	THT	SIL																
kw_3564	s.08	B	4	PAR	SIL																
kw_3565	s.08	B	5	BHS	SIL																
kw_3566	s.08	B	6	VNH	SIL																
kw_3567	s.08	B	7	LTM	SIL																
kw_3568	s.08	B	8	MAH	SIL																
kw_3569	s.08	B	9	MIL	SIL																
kw_3570	s.08	B	10	BVC	SIL																
kw_3571	s.08	C	1	RUB	SIL																
kw_3572	s.08	C	2	DDW	SIL																
kw_3573	s.08	C	3	MIL	SIL																
kw_3574	s.08	C	4	BHM	SIL																
kw_3575	s.08	C	5	BSC	SIL																
kw_3576	s.08	C	6	PCS	SIL																
kw_3577	s.08	C	7	SIL	SIL																
kw_3578	s.08	C	8	BVC	SIL																
kw_3579	s.08	C	9	BHS	SIL																
kw_3580	s.08	C	10	PAR	SIL																
kw_3581	s.08	D	1	PCS	SIL																
kw_3582	s.08	D	2	WHC	SIL																
kw_3583	s.08	D	3	SAD	SIL																
kw_3584	s.08	D	4	EGM	SIL																
kw_3585	s.08	D	5	JAM	SIL																
kw_3586	s.08	D	6	BSC	SIL																
kw_3587	s.08	D	7	HMC	SIL																
kw_3588	s.08	D	8	DDW	SIL																
kw_3589	s.08	D	9	LTM	SIL																
kw_3590	s.08	D	10	THT	SIL																
kw_3591	s.08	E	1	FLF	SIL																
kw_3592	s.08	E	2	HMC	SIL																
kw_3593	s.08	E	3	BVM	SIL																
kw_3594	s.08	E	4	RUB	SIL																
kw_3595	s.08	E	5	MFP	SIL																
kw_3596	s.08	E	6	ECM	SIL																
kw_3597	s.08	E	7	EGM	SIL																
kw_3598	s.08	E	8	IRF	SIL																
kw_3599	s.08	E	9	BNK	SIL																
kw_3600	s.08	E	10	BVM	SIL																
kw_3601	s.09	A	1	HMC	SIL																
kw_3602	s.09	A	2	VNH	SIL																
kw_3603	s.09	A	3	SIL	SIL																
kw_3604	s.09	A	4	SAD	SIL																
kw_3605	s.09	A	5	SIL	SIL																
kw_3606	s.09	A	6	JAM	SIL																
kw_3607	s.09	A	7	DDW	SIL																
kw_3608	s.09	A	8	BHM	SIL																
kw_3609	s.09	A	9	IRF	SIL																
kw_3610	s.09	A	10	BVC	SIL																
kw_3611	s.09	B	1	BHS	SIL																
