Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	RosHPLC	CauHPLC	FrHPLC	PUC	
kw_2475	p.02	C	5	BNK	JAM	CR	X	90																	
kw_2476	p.02	C	6	IRF	JAM	CR	X	80																	
kw_2477	p.02	C	7	DDW	JAM	CR	R	40	0	64											7754			0	
kw_2478	p.02	C	8	IRF	JAM	CR	X	30																	
kw_2479	p.02	C	9	BNK	JAM	CR	X	70																	
kw_2480	p.02	C	10	BSC	JAM	CR	X	30																	
kw_2481	p.02	D	1	JAM	JAM	CR	X	60																	
kw_2482	p.02	D	2	VNH	JAM	CR	R	80	0	54											7755			0	
kw_2483	p.02	D	3	BVM	JAM	CR	R	70	0	66											7756			0	
kw_2484	p.02	D	4	LTM	JAM	CR	X	90																	
kw_2485	p.02	D	5	PCS	JAM	CR	B	80	0	80											7757			0	
kw_2486	p.02	D	6	BHS	JAM	CR	X	70																	
kw_2487	p.02	D	7	JAM	JAM	CR	R	70	0	44											7758			0	
kw_2488	p.02	D	8	BSC	JAM	CR	R	30	0	67											7759			0	
kw_2489	p.02	D	9	PAR	JAM	CR	X	20																	
kw_2490	p.02	D	10	WHC	JAM	CR	X	30																	
kw_2491	p.02	E	1	MIL	JAM	CR	X	70																	
kw_2492	p.02	E	2	BHM	JAM	CR	R	50	0	59											7760			0	
kw_2493	p.02	E	3	MFP	JAM	CR	R	60	0	43											7761			0	
kw_2494	p.02	E	4	HMC	JAM	CR	X	80																	
kw_2495	p.02	E	5	ECM	JAM	CR	X	70																	
kw_2496	p.02	E	6	SIL	JAM	CR	R	30	0	31														0	
kw_2497	p.02	E	7	BVC	JAM	CR	R	30	0	62											7762			0	
kw_2498	p.02	E	8	DDW	JAM	CR	X	10																	
kw_2499	p.02	E	9	FLF	JAM	CR	X	10																	
kw_2500	p.02	E	10	EGM	JAM	CR	X	60																	
kw_2501	p.03	A	1	BNK	JAM	CR	X	50																	
kw_2502	p.03	A	2	WHC	JAM	CR	X	70																	
kw_2503	p.03	A	3	MFP	JAM	CR	X	40																	
kw_2504	p.03	A	4	BSC	JAM	CR	X	40																	
kw_2505	p.03	A	5	PAR	JAM	CR	X	70																	
kw_2506	p.03	A	6	MFP	JAM	CR	R	50	0	11														0	
kw_2507	p.03	A	7	EGM	JAM	CR	X	10																	
kw_2508	p.03	A	8	DDW	JAM	CR	X	20																	
kw_2509	p.03	A	9	EGM	JAM	CR	X	20																	
kw_2510	p.03	A	10	ECM	JAM	CR	R	20	0	12														0	
kw_2511	p.03	B	1	BVM	JAM	CR	X	90																	
kw_2512	p.03	B	2	LTM	JAM	CR	X	50																	
kw_2513	p.03	B	3	PCS	JAM	CR	X	20																	
kw_2514	p.03	B	4	BHS	JAM	CR	X	40																	
kw_2515	p.03	B	5	THT	JAM	CR	X	30																	
kw_2516	p.03	B	6	PAR	JAM	CR	X	30																	
kw_2517	p.03	B	7	ECM	JAM	CR	X	20																	
kw_2518	p.03	B	8	IRF	JAM	CR	X	10																	
kw_2519	p.03	B	9	MAH	JAM	CR	X	40																	
kw_2520	p.03	B	10	FLF	JAM	CR	X	20																	
kw_2521	p.03	C	1	RUB	JAM	CR	X	70																	
kw_2522	p.03	C	2	BHM	JAM	CR	X	60																	
kw_2523	p.03	C	3	SAD	JAM	CR	X	10																	
kw_2524	p.03	C	4	THT	JAM	CR	R	30	0	64											7763			0	
kw_2525	p.03	C	5	BHM	JAM	CR	R	20	0	62											7764			0	
kw_2526	p.03	C	6	MIL	JAM	CR	X	80																	
kw_2527	p.03	C	7	FLF	JAM	CR	R	70	0	31														0	
kw_2528	p.03	C	8	BNK	JAM	CR	X	50																	
kw_2529	p.03	C	9	PCS	JAM	CR	R	70	0	38											7765			0	
kw_2530	p.03	C	10	IRF	JAM	CR	R	40	0	21											7766			0	
kw_2531	p.03	D	1	BVM	JAM	CR	X	70																	
kw_2532	p.03	D	2	JAM	JAM	CR	X	40																	
kw_2533	p.03	D	3	VNH	JAM	CR	X	20																	
kw_2534	p.03	D	4	HMC	JAM	CR	X	10																	
kw_2535	p.03	D	5	VNH	JAM	CR	R	30	0	59											7767			0	
kw_2536	p.03	D	6	JAM	JAM	CR	R	60	0	31											7768			0	
kw_2537	p.03	D	7	MAH	JAM	CR	R	60	0	10														0	
kw_2538	p.03	D	8	RUB	JAM	CR	X	20																	
kw_2539	p.03	D	9	BHS	JAM	CR	X	20																	
kw_2540	p.03	D	10	SIL	JAM	CR	R	30	0	39											7769			0	
kw_2541	p.03	E	1	BVC	JAM	CR	X	80																	
kw_2542	p.03	E	2	DDW	JAM	CR	X	80																	
kw_2543	p.03	E	3	SAD	JAM	CR	R	10	0	15											7770			0	
kw_2544	p.03	E	4	SIL	JAM	CR	R	0	0	53											7771			0	
kw_2545	p.03	E	5	HMC	JAM	CR	X	10																	
kw_2546	p.03	E	6	LTM	JAM	CR	B	70	0	67											7772			0	
kw_2547	p.03	E	7	WHC	JAM	CR	X	30																	
kw_2548	p.03	E	8	BSC	JAM	CR	R	20	0	43											7773			0	
kw_2549	p.03	E	9	MIL	JAM	CR	R	70	0	48											7774			0	
kw_2550	p.03	E	10	BVC	JAM	CR	R	60	0	33														0	ALMOST DEAD
kw_2551	p.04	A	1	DDW	JAM	MW	X	70																	
kw_2552	p.04	A	2	WHC	JAM	MW	X	70																	
kw_2553	p.04	A	3	ECM	JAM	MW	X	70																	
kw_2554	p.04	A	4	EGM	JAM	MW	X	60																	
kw_2555	p.04	A	5	JAM	JAM	MW	X	40																	
kw_2556	p.04	A	6	BNK	JAM	MW	X	60																	
kw_2557	p.04	A	7	ECM	JAM	MW	X	60																	
kw_2558	p.04	A	8	SAD	JAM	MW	X	60																	
kw_2559	p.04	A	9	IRF	JAM	MW	X	70																	
kw_2560	p.04	A	10	MFP	JAM	MW	X	60																	
kw_2561	p.04	B	1	BVC	JAM	MW	R	10		30											7390			0	
kw_2562	p.04	B	2	PCS	JAM	MW	X	20																	
kw_2563	p.04	B	3	HMC	JAM	MW	R	40		19											X			0	
kw_2564	p.04	B	4	BVM	JAM	MW	R	40		4											X			0	
kw_2565	p.04	B	5	BVM	JAM	MW	R	40		32											7391			0	
kw_2566	p.04	B	6	SIL	JAM	MW	R	30		44											7392			0	
kw_2567	p.04	B	7	BNK	JAM	MW	X	20																	
kw_2568	p.04	B	8	DDW	JAM	MW	X	20																	
kw_2569	p.04	B	9	BHS	JAM	MW	X	50																	
kw_2570	p.04	B	10	WHC	JAM	MW	X	50																	
kw_2571	p.04	C	1	VNH	JAM	MW	X	50																	
kw_2572	p.04	C	2	EGM	JAM	MW	B	70		65											7393			0	
kw_2573	p.04	C	3	MIL	JAM	MW	B	60		27											7394			0	
kw_2574	p.04	C	4	MIL	JAM	MW	R	40		28											7395			0	
kw_2575	p.04	C	5	THT	JAM	MW	X	40																	
kw_2576	p.04	C	6	PCS	JAM	MW	B	60		66											7396			0	
kw_2577	p.04	C	7	BVC	JAM	MW	X	40																	
kw_2578	p.04	C	8	MAH	JAM	MW	X	50																	
kw_2579	p.04	C	9	IRF	JAM	MW	R	70		49											7397			0	
kw_2580	p.04	C	10	MFP	JAM	MW	X	30																	
kw_2581	p.04	D	1	MAH	JAM	MW	X	30																	
kw_2582	p.04	D	2	BHS	JAM	MW	X	30																	
kw_2583	p.04	D	3	RUB	JAM	MW	R	40		34											7398			0	
kw_2584	p.04	D	4	BSC	JAM	MW	X	60																	
kw_2585	p.04	D	5	FLF	JAM	MW	R	60		26											7399			0	
kw_2586	p.04	D	6	THT	JAM	MW	X	60																	
kw_2587	p.04	D	7	PAR	JAM	MW	X	50																	
kw_2588	p.04	D	8	VNH	JAM	MW	R	70		42											7400			0	
kw_2589	p.04	D	9	RUB	JAM	MW	R	70		30											7401			0	
kw_2590	p.04	D	10	JAM	JAM	MW	X	40																	
kw_2591	p.04	E	1	BHM	JAM	MW	R	20		34											7402			0	
kw_2592	p.04	E	2	SAD	JAM	MW	X	10																	
kw_2593	p.04	E	3	LTM	JAM	MW	B	0		37											7403			0	
kw_2594	p.04	E	4	HMC	JAM	MW	R	40		15											X			0	
kw_2595	p.04	E	5	SIL	JAM	MW	R	50		27											7404			0	
kw_2596	p.04	E	6	BHM	JAM	MW	R	30		36											7405			0	
kw_2597	p.04	E	7	BSC	JAM	MW	R	10		37											7406			0	
kw_2598	p.04	E	8	FLF	JAM	MW	B	30		70											7407			0	
kw_2599	p.04	E	9	PAR	JAM	MW	X	40																	
kw_2600	p.04	E	10	LTM	JAM	MW	B	60		55											7408			0	
kw_2601	p.05	A	1	BHM	JAM	MW	R	40		44											7347			0	
kw_2602	p.05	A	2	MIL	JAM	MW	R	20		29											7365			0	
kw_2603	p.05	A	3	SIL	JAM	MW	R	30		50											7366			0	
kw_2604	p.05	A	4	DDW	JAM	MW	R	30		24											X			0	
kw_2605	p.05	A	5	LTM	JAM	MW	B	30		43											7367			0	
kw_2606	p.05	A	6	BHS	JAM	MW	X	10																	
kw_2607	p.05	A	7	BVC	JAM	MW	X	10																	
kw_2608	p.05	A	8	WHC	JAM	MW	R	40		26											7368			0	
kw_2609	p.05	A	9	ECM	JAM	MW	R	30		23											X			0	
kw_2610	p.05	A	10	THT	JAM	MW	R	50		37											7369			0	
kw_2611	p.05	B	1	VNH	JAM	MW	X	60																	
kw_2612	p.05	B	2	MAH	JAM	MW	X	20																	
kw_2613	p.05	B	3	SAD	JAM	MW	R	20		23											7370			0	
kw_2614	p.05	B	4	FLF	JAM	MW	B	30		41											7371			0	
kw_2615	p.05	B	5	RUB	JAM	MW	R	40		33											7372			0	
kw_2616	p.05	B	6	BSC	JAM	MW	X	60																	
kw_2617	p.05	B	7	ECM	JAM	MW	B	70		46											7373			0	
kw_2618	p.05	B	8	DDW	JAM	MW	X	80																	
kw_2619	p.05	B	9	BVC	JAM	MW	X	70																	
kw_2620	p.05	B	10	PCS	JAM	MW	R	70		30											7374			0	
kw_2621	p.05	C	1	PAR	JAM	MW	R	50		30											7375			1	
kw_2622	p.05	C	2	RUB	JAM	MW	X	20																	
kw_2623	p.05	C	3	BHS	JAM	MW	X	30																	
kw_2624	p.05	C	4	BSC	JAM	MW	B	40		40											7376			0	
kw_2625	p.05	C	5	SAD	JAM	MW	R	30		36											7377			0	
kw_2626	p.05	C	6	EGM	JAM	MW	X	50																	
kw_2627	p.05	C	7	VNH	JAM	MW	X	70																	
kw_2628	p.05	C	8	LTM	JAM	MW	B	70		35											7378			0	
kw_2629	p.05	C	9	MAH	JAM	MW	R	60		13											7379			0	
kw_2630	p.05	C	10	BNK	JAM	MW	R	50		60											7380			0	
kw_2631	p.05	D	1	IRF	JAM	MW	R	60		37											7381			0	
kw_2632	p.05	D	2	WHC	JAM	MW	X	70																	
kw_2633	p.05	D	3	BHM	JAM	MW	R	70		50											7382			0	
kw_2634	p.05	D	4	IRF	JAM	MW	R	70		33											7383			0	
kw_2635	p.05	D	5	MFP	JAM	MW	X	30																	
kw_2636	p.05	D	6	JAM	JAM	MW	X	40																	
kw_2637	p.05	D	7	SIL	JAM	MW	R	70		36											7384			0	
kw_2638	p.05	D	8	HMC	JAM	MW	R	50		35											7385			0	
kw_2639	p.05	D	9	THT	JAM	MW	X	20																	
kw_2640	p.05	D	10	PAR	JAM	MW	X	40																	
kw_2641	p.05	E	1	JAM	JAM	MW	B	80		67											7386			0	
kw_2642	p.05	E	2	BVM	JAM	MW	X	80																	
kw_2643	p.05	E	3	EGM	JAM	MW	R	80		30											7387			0	
kw_2644	p.05	E	4	MFP	JAM	MW	X	50																	
kw_2645	p.05	E	5	BVM	JAM	MW	R	40		37											7388			0	
kw_2646	p.05	E	6	FLF	JAM	MW	X	50																	
kw_2647	p.05	E	7	PCS	JAM	MW	R	70		34											7389			0	
kw_2648	p.05	E	8	MIL	JAM	MW	X	40																	
kw_2649	p.05	E	9	HMC	JAM	MW	X	20																	
kw_2650	p.05	E	10	BNK	JAM	MW	X	40																	
kw_2651	p.06	A	1	BNK	JAM	CR	B	60	0	58											7409			0	
kw_2652	p.06	A	2	MIL	JAM	CR	B	50	0	93											7410			0	
kw_2653	p.06	A	3	PAR	JAM	CR	X	50																	
kw_2654	p.06	A	4	ECM	JAM	CR	X	60																	
kw_2655	p.06	A	5	ECM	JAM	CR	B	30	0	64											7411			0	
kw_2656	p.06	A	6	BSC	JAM	CR	B	20	0	92											7412			0	
kw_2657	p.06	A	7	RUB	JAM	CR	R	30	0	39											7413			0	
kw_2658	p.06	A	8	THT	JAM	CR	R	30	0	40											7414			0	
kw_2659	p.06	A	9	MAH	JAM	CR	X	50																	
kw_2660	p.06	A	10	BHM	JAM	CR	R	30	0	49											7577			0	
kw_2661	p.06	B	1	SIL	JAM	CR	R	70	0	52											7578			0	
kw_2662	p.06	B	2	WHC	JAM	CR	B	60	0	84											7579			0	
kw_2663	p.06	B	3	MAH	JAM	CR	X	40																	
kw_2664	p.06	B	4	THT	JAM	CR	R	30	0	38											7580			0	
kw_2665	p.06	B	5	BHM	JAM	CR	B	20	0	108											7581			0	
kw_2666	p.06	B	6	PCS	JAM	CR	B	30	0	60											7582			0	
kw_2667	p.06	B	7	DDW	JAM	CR	X	50																	
kw_2668	p.06	B	8	BVM	JAM	CR	B	40	0	64											7583			0	
kw_2669	p.06	B	9	DDW	JAM	CR	R	50	0	58											7584			0	
kw_2670	p.06	B	10	RUB	JAM	CR	X	90																	
kw_2671	p.06	C	1	BHS	JAM	CR	X	50																	
kw_2672	p.06	C	2	JAM	JAM	CR	B	80	0	128											7585			0	
kw_2673	p.06	C	3	IRF	JAM	CR	R	30	0	43											7586			0	
kw_2674	p.06	C	4	EGM	JAM	CR	B	50	0	126											7587			0	
kw_2675	p.06	C	5	HMC	JAM	CR	R	50	0	72											7588			0	
kw_2676	p.06	C	6	WHC	JAM	CR	R	20	0	39											7589			0	
kw_2677	p.06	C	7	BVC	JAM	CR	X	40																	
kw_2678	p.06	C	8	VNH	JAM	CR	X	40																	
kw_2679	p.06	C	9	PAR	JAM	CR	R	50	0	57											7590			0	
kw_2680	p.06	C	10	BVM	JAM	CR	R	70	0	50											7591			0	
kw_2681	p.06	D	1	JAM	JAM	CR	R	70	0	41											7592			0	
kw_2682	p.06	D	2	FLF	JAM	CR	B	70	0	110											7593			0	
kw_2683	p.06	D	3	BNK	JAM	CR	B	80	0	86											7594			0	
kw_2684	p.06	D	4	LTM	JAM	CR	B	50	0	53											7595			0	
kw_2685	p.06	D	5	MFP	JAM	CR	X	40																	
kw_2686	p.06	D	6	BSC	JAM	CR	R	50	0	54											7596			0	
kw_2687	p.06	D	7	SAD	JAM	CR	X	90																	
kw_2688	p.06	D	8	BVC	JAM	CR	R	90	0	74											7597			0	
kw_2689	p.06	D	9	IRF	JAM	CR	R	40	0	56											7598			0	
kw_2690	p.06	D	10	BHS	JAM	CR	X	20																	
kw_2691	p.06	E	1	HMC	JAM	CR	R	50	0	54											7599			0	
kw_2692	p.06	E	2	LTM	JAM	CR	B	40	0	75											7600			0	
kw_2693	p.06	E	3	MIL	JAM	CR	B	50	0	102											7601			0	
kw_2694	p.06	E	4	VNH	JAM	CR	R	30	0	64											7602			0	
kw_2695	p.06	E	5	MFP	JAM	CR	X	20																	
kw_2696	p.06	E	6	SIL	JAM	CR	B	20	0	62											7603			0	
kw_2697	p.06	E	7	EGM	JAM	CR	B	30	0	65											7604			0	
kw_2698	p.06	E	8	FLF	JAM	CR	B	50	0	81											7605			0	
kw_2699	p.06	E	9	SAD	JAM	CR	X	20																	
kw_2700	p.06	E	10	PCS	JAM	CR	R	20	0	16											X			0	
kw_2701	p.07	A	1	PAR	JAM	CR	X	80																	
kw_2702	p.07	A	2	MAH	JAM	CR	X	60																	
kw_2703	p.07	A	3	THT	JAM	CR	X	80																	
kw_2704	p.07	A	4	BVM	JAM	CR	R	80		35											7606			0	
kw_2705	p.07	A	5	WHC	JAM	CR	X	60																	
kw_2706	p.07	A	6	RUB	JAM	CR	X	40																	
kw_2707	p.07	A	7	JAM	JAM	CR	X	60																	
kw_2708	p.07	A	8	BSC	JAM	CR	X	80																	
kw_2709	p.07	A	9	FLF	JAM	CR	X	90																	
kw_2710	p.07	A	10	EGM	JAM	CR	X	90																	
kw_2711	p.07	B	1	ECM	JAM	CR	X	60																	
kw_2712	p.07	B	2	WHC	JAM	CR	X	50																	
kw_2713	p.07	B	3	BSC	JAM	CR	X	40																	
kw_2714	p.07	B	4	BVC	JAM	CR	X	60																	
kw_2715	p.07	B	5	SIL	JAM	CR	B	90	0	68											7607			0	
kw_2716	p.07	B	6	BHS	JAM	CR	X	80																	
kw_2717	p.07	B	7	SAD	JAM	CR	X	100																	
kw_2718	p.07	B	8	MFP	JAM	CR	X	80																	
kw_2719	p.07	B	9	MAH	JAM	CR	X	40																	
kw_2720	p.07	B	10	PCS	JAM	CR	X	40																	
kw_2721	p.07	C	1	MIL	JAM	CR	X	30																	
kw_2722	p.07	C	2	PAR	JAM	CR	X	20																	
kw_2723	p.07	C	3	ECM	JAM	CR	X	60																	
kw_2724	p.07	C	4	IRF	JAM	CR	R	80	0	42											7608			0	
kw_2725	p.07	C	5	SIL	JAM	CR	R	70	0	39											7609			0	
kw_2726	p.07	C	6	PCS	JAM	CR	X	70																	
kw_2727	p.07	C	7	VNH	JAM	CR	X	90																	
kw_2728	p.07	C	8	MFP	JAM	CR	X	60																	
kw_2729	p.07	C	9	LTM	JAM	CR	B	70	0	99											7610				
kw_2730	p.07	C	10	MIL	JAM	CR	X	70																	
kw_2731	p.07	D	1	DDW	JAM	CR	R	20	0	40											7611			0	
kw_2732	p.07	D	2	IRF	JAM	CR	R	70	0	33											7612			0	
kw_2733	p.07	D	3	SAD	JAM	CR	X	90																	
kw_2734	p.07	D	4	EGM	JAM	CR	X	80																	
kw_2735	p.07	D	5	BHM	JAM	CR	R	80		58											X			0	
kw_2736	p.07	D	6	THT	JAM	CR	B	90		53											7613				
kw_2737	p.07	D	7	DDW	JAM	CR	X	80																	
kw_2738	p.07	D	8	BNK	JAM	CR	X	90																	
kw_2739	p.07	D	9	BHS	JAM	CR	X	50																	
kw_2740	p.07	D	10	JAM	JAM	CR	B	60	0	123											7614			0	
kw_2741	p.07	E	1	FLF	JAM	CR	X	50																	
kw_2742	p.07	E	2	BVC	JAM	CR	X	60																	
kw_2743	p.07	E	3	RUB	JAM	CR	R	90	0	42											7615			0	
kw_2744	p.07	E	4	HMC	JAM	CR	R	60	0	44											7616			0	
kw_2745	p.07	E	5	BVM	JAM	CR	R	80	0	51											7617			0	
kw_2746	p.07	E	6	LTM	JAM	CR	B	70	0	105											7618				
kw_2747	p.07	E	7	VNH	JAM	CR	R	80	0	59											7619				
kw_2748	p.07	E	8	BHM	JAM	CR	R	90	0	37											X			0	
kw_2749	p.07	E	9	BNK	JAM	CR	X	50																	
kw_2750	p.07	E	10	HMC	JAM	CR	X	60																	
kw_2751	p.08	A	1	JAM	JAM	CR	X	70																	
kw_2752	p.08	A	2	VNH	JAM	CR	X	30																	
kw_2753	p.08	A	3	FLF	JAM	CR	X	20																	
kw_2754	p.08	A	4	MFP	JAM	CR	X	40																	
kw_2755	p.08	A	5	IRF	JAM	CR	R	30		23											X			0	
kw_2756	p.08	A	6	SIL	JAM	CR	R	80	0	18											X				
kw_2757	p.08	A	7	WHC	JAM	CR	X	20																	
kw_2758	p.08	A	8	BNK	JAM	CR	X	40																	
kw_2759	p.08	A	9	ECM	JAM	CR	X	60																	
kw_2760	p.08	A	10	MAH	JAM	CR	X	80																	
kw_2761	p.08	B	1	SAD	JAM	CR	X	30																	
kw_2762	p.08	B	2	BHM	JAM	CR	X	30																	
kw_2763	p.08	B	3	THT	JAM	CR	X	20																	
kw_2764	p.08	B	4	PAR	JAM	CR	X	30																	
kw_2765	p.08	B	5	BHS	JAM	CR	X	40																	
kw_2766	p.08	B	6	VNH	JAM	CR	X	20																	
kw_2767	p.08	B	7	LTM	JAM	CR	R	30		34											7632				
kw_2768	p.08	B	8	MAH	JAM	CR	X	30																	
kw_2769	p.08	B	9	MIL	JAM	CR	X	60																	
kw_2770	p.08	B	10	BVC	JAM	CR	X	80																	
kw_2771	p.08	C	1	RUB	JAM	CR	M	10																	
kw_2772	p.08	C	2	DDW	JAM	CR	M	80																	
kw_2773	p.08	C	3	MIL	JAM	CR	X	30																	
kw_2774	p.08	C	4	BHM	JAM	CR	R	20	0	63											7633			0	
kw_2775	p.08	C	5	BSC	JAM	CR	X	10																	
kw_2776	p.08	C	6	PCS	JAM	CR	X	40																	
kw_2777	p.08	C	7	SIL	JAM	CR	X	20																	
kw_2778	p.08	C	8	BVC	JAM	CR	X	20																	
kw_2779	p.08	C	9	BHS	JAM	CR	X	40																	
kw_2780	p.08	C	10	PAR	JAM	CR	X	40																	
kw_2781	p.08	D	1	PCS	JAM	CR	M	10																	
kw_2782	p.08	D	2	WHC	JAM	CR	X	30																	
kw_2783	p.08	D	3	SAD	JAM	CR	X	30																	
kw_2784	p.08	D	4	EGM	JAM	CR	X	40																	
kw_2785	p.08	D	5	JAM	JAM	CR	X	20																	
kw_2786	p.08	D	6	BSC	JAM	CR	X	80																	
kw_2787	p.08	D	7	HMC	JAM	CR	X	90																	
kw_2788	p.08	D	8	DDW	JAM	CR	R	20	0	42											7634			0	
kw_2789	p.08	D	9	LTM	JAM	CR	X	20																	
kw_2790	p.08	D	10	THT	JAM	CR	X	10																	
kw_2791	p.08	E	1	FLF	JAM	CR	X	70																	
kw_2792	p.08	E	2	HMC	JAM	CR	X	90																	
kw_2793	p.08	E	3	BVM	JAM	CR	M	70																	
kw_2794	p.08	E	4	RUB	JAM	CR	X	20																	
kw_2795	p.08	E	5	MFP	JAM	CR	X	50																	
kw_2796	p.08	E	6	ECM	JAM	CR	X	70																	
kw_2797	p.08	E	7	EGM	JAM	CR	R	90		30											X			1	
kw_2798	p.08	E	8	IRF	JAM	CR	R	80		8											X			0	
kw_2799	p.08	E	9	BNK	JAM	CR	X	20																	
kw_2800	p.08	E	10	BVM	JAM	CR	X	50																	
kw_2801	p.09	A	1	HMC	JAM	MW	R	20		25											7819				
kw_2802	p.09	A	2	VNH	JAM	MW	X	30																	
kw_2803	p.09	A	3	SIL	JAM	MW	R	50		39											7820				
kw_2804	p.09	A	4	SAD	JAM	MW	X	60																	
kw_2805	p.09	A	5	SIL	JAM	MW	R	70		16											X				
kw_2806	p.09	A	6	JAM	JAM	MW	X	70																	
kw_2807	p.09	A	7	DDW	JAM	MW	X	60																	
kw_2808	p.09	A	8	BHM	JAM	MW	R	60		26											X				
kw_2809	p.09	A	9	IRF	JAM	MW	R	70		31											X				
